,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Tiger Woods,31,"43' 2""",3067.417,71,-18
1,2,4,Keegan Bradley,65,"43' 8""",6895.5830000000005,158,-24
2,T3,3,Trey Mullinax,67,"43' 9""",6211.0,142,-39
3,T3,2,Gary Woodland,63,"43' 9""",5989.3330000000005,137,-33
4,5,5,Michael Kim,51,"45' 3""",4568.667,101,-6
5,6,11,Adam Hadwin,66,"45' 4""",7029.5830000000005,155,-36
6,T7,6,Bronson Burgoon,37,"45' 5""",3541.0,78,-3
7,T7,T14,Seth Reeves,52,"45' 5""",4722.917,104,-14
8,T9,T7,Tyrrell Hatton,46,"45' 6""",4637.25,102,-18
9,T9,T7,Marc Leishman,52,"45' 6""",5139.75,113,-22
10,T9,10,Ollie Schniederjans,63,"45' 6""",5093.167,112,-25
11,T12,9,Luke List,52,"45' 7""",5603.0,123,-28
12,T12,20,Rory McIlroy,50,"45' 7""",6154.1669999999995,135,-41
13,T14,T12,Tommy Fleetwood,43,"46' 3""",4395.5,95,-17
14,T14,T12,Grayson Murray,36,"46' 3""",3143.0,68,-9
15,T16,16,Chesson Hadley,58,"46' 6""",5770.1669999999995,124,-12
16,T16,999,Shane Lowry,30,"46' 6""",3115.167,67,-8
17,T16,T14,Henrik Stenson,46,"46' 6""",7860.3330000000005,169,-22
18,T16,999,Tyrone Van Aswegen,30,"46' 6""",2279.917,49,-3
19,20,17,Xander Schauffele,55,"46' 7""",5544.0830000000005,119,-33
20,21,44,Talor Gooch,37,"46' 8""",4528.917,97,-31
21,22,T31,Brooks Koepka,49,"46' 9""",5331.3330000000005,114,-21
22,23,18,Rickie Fowler,54,"46' 10""",6412.25,137,-27
23,24,19,Max Homa,61,"47' 0""",6011.8330000000005,128,-25
24,25,T36,J.B. Holmes,54,"47' 2""",3868.583,82,-8
25,26,21,Nate Lashley,44,"47' 5""",5070.083,107,-19
26,27,29,Russell Henley,56,"47' 6""",5932.75,125,-13
27,28,43,Justin Thomas,49,"47' 7""",4993.333,105,-33
28,T29,T23,Tony Finau,61,"47' 9""",5489.75,115,-31
29,T29,T23,Hideki Matsuyama,59,"47' 9""",6966.1669999999995,146,-34
30,T29,39,Bubba Watson,47,"47' 9""",5916.0830000000005,124,-32
31,32,T25,J.T. Poston,76,"47' 10""",8798.417,184,-19
32,T33,27,Haotong Li,32,"47' 11""",3207.75,67,-12
33,T33,T25,Ryan Palmer,56,"47' 11""",5657.5,118,-6
34,35,28,Brendan Steele,50,"48' 0""",5039.667,105,-28
35,T36,30,Patrick Cantlay,49,"48' 2""",4575.833,95,-17
36,T36,64,Cody Gribble,52,"48' 2""",4722.75,98,-25
37,38,38,Scott Langley,60,"48' 3""",6902.5,143,-4
38,T39,T52,Tom Hoge,70,"48' 5""",6000.6669999999995,124,-23
39,T39,T31,Russell Knox,65,"48' 5""",7117.8330000000005,147,-29
40,T41,T31,Alex Prugh,54,"48' 6""",4608.333,95,-14
41,T41,T34,Nick Watney,67,"48' 6""",6787.0,140,-35
42,43,T34,Charley Hoffman,58,"48' 7""",4956.583,102,-19
43,44,T36,Phil Mickelson,41,"48' 8""",4282.833,88,+1
44,T45,T48,Lucas Bjerregaard,37,"48' 10""",3612.417,74,-7
45,T45,T45,Brian Harman,67,"48' 10""",7329.5830000000005,150,-23
46,47,T45,Joaquin Niemann,68,"49' 1""",7603.25,155,-13
47,T48,T40,Louis Oosthuizen,43,"49' 2""",4274.083,87,-11
48,T48,T40,Jon Rahm,51,"49' 2""",5604.5,114,-38
49,T48,T40,Matt Wallace,31,"49' 2""",3640.667,74,-8
50,51,T50,Zach Johnson,50,"49' 3""",6800.0830000000005,138,-18
51,T52,T98,Jim Furyk,53,"49' 5""",6033.5830000000005,122,-18
52,T52,T45,Francesco Molinari,41,"49' 5""",5188.583,105,-8
53,T54,T48,Paul Casey,51,"49' 6""",6086.0830000000005,123,-28
54,T54,T85,Whee Kim,57,"49' 6""",3661.833,74,-14
55,56,T50,Troy Merritt,42,"49' 7""",5004.833,101,-39
56,T57,T52,Bryson DeChambeau,45,"49' 8""",6358.0,128,-31
57,T57,T73,Webb Simpson,53,"49' 8""",8538.833,172,-32
58,T57,T52,Cameron Smith,55,"49' 8""",4368.667,88,-8
59,T60,117,Daniel Berger,48,"49' 9""",6961.6669999999995,140,-22
60,T60,T55,Patrick Rodgers,44,"49' 9""",5224.583,105,-23
61,T62,T57,Sung Kang,67,"49' 10""",8370.917,168,-43
62,T62,T82,Danny Lee,66,"49' 10""",7770.0,156,-25
63,T62,T57,Kyle Stanley,53,"49' 10""",5230.0,105,-13
64,T62,T59,Danny Willett,47,"49' 10""",6324.8330000000005,127,-9
65,T66,T87,Martin Laird,60,"49' 11""",7987.6669999999995,160,-33
66,T66,T59,Sam Ryder,52,"49' 11""",5988.25,120,-36
67,T66,T90,Adam Svensson,51,"49' 11""",5138.083,103,-16
68,T69,T61,Joel Dahmen,78,"50' 0""",7749.3330000000005,155,-25
69,T69,118,Dustin Johnson,47,"50' 0""",5347.9169999999995,107,-21
70,T69,T61,Ian Poulter,49,"50' 0""",5299.0,106,-30
71,T72,63,Jason Kokrak,68,"50' 1""",7858.8330000000005,157,-42
72,T72,T90,Robert Streb,60,"50' 1""",6664.4169999999995,133,-13
73,T72,72,Hudson Swafford,59,"50' 1""",6710.8330000000005,134,-26
74,T72,T77,Chase Wright,53,"50' 1""",5505.75,110,-20
75,T76,T65,Anders Albertson,48,"50' 2""",5215.583,104,-15
76,T76,T130,Sangmoon Bae,42,"50' 2""",4363.083,87,-15
77,T78,T73,Bud Cauley,61,"50' 3""",8195.917,163,-50
78,T78,T65,Keith Mitchell,64,"50' 3""",6528.75,130,-28
79,T78,T73,Carlos Ortiz,60,"50' 3""",7633.0,152,-29
80,81,67,Pat Perez,52,"50' 4""",5936.9169999999995,118,-6
81,T82,T68,Byeong Hun An,54,"50' 5""",6397.8330000000005,127,-27
82,T82,T68,Abraham Ancer,69,"50' 5""",7609.5830000000005,151,-18
83,T82,T68,Jason Dufner,56,"50' 5""",5599.9169999999995,111,-23
84,T82,T55,Fabián Gómez,44,"50' 5""",4789.083,95,-11
85,T82,T68,Branden Grace,62,"50' 5""",5493.6669999999995,109,-20
86,T82,T104,Brandon Harkins,67,"50' 5""",6808.3330000000005,135,-24
87,T82,T98,Jim Knous,55,"50' 5""",5245.25,104,-11
88,89,T90,Josh Teater,47,"50' 6""",4493.667,89,-8
89,T90,T104,Jonas Blixt,66,"50' 7""",7838.25,155,-33
90,T90,T73,Adam Long,52,"50' 7""",6621.8330000000005,131,-21
91,T92,T77,Martin Kaymer,38,"50' 8""",5113.917,101,-29
92,T92,T77,Adam Scott,41,"50' 8""",3701.083,73,-28
93,T92,T77,Vaughn Taylor,69,"50' 8""",8619.333,170,-35
94,T95,81,Lucas Glover,62,"50' 9""",8828.25,174,-41
95,T95,T104,Kramer Hickok,59,"50' 9""",6291.3330000000005,124,-13
96,T95,119,Harold Varner III,62,"50' 9""",8018.5830000000005,158,-20
97,T98,T82,Sam Burns,66,"50' 10""",7926.25,156,-32
98,T98,T114,Ben Crane,41,"50' 10""",4168.75,82,-12
99,T98,T107,Kyle Jones,49,"50' 10""",5489.5,108,-10
100,T98,T82,Rory Sabbatini,71,"50' 10""",7570.8330000000005,149,-30
101,T102,T85,Si Woo Kim,65,"50' 11""",5702.3330000000005,112,-35
102,T102,T107,Peter Uihlein,65,"50' 11""",5959.5,117,-14
103,104,T87,Justin Rose,42,"51' 0""",5306.25,104,-35
104,105,89,Patton Kizzire,58,"51' 1""",5976.75,117,-14
105,T106,T96,Ryan Armour,66,"51' 2""",6647.0,130,-4
106,T106,T90,Jason Day,45,"51' 2""",4300.917,84,-14
107,T106,143,D.J. Trahan,33,"51' 2""",2713.25,53,-18
108,T109,T98,Sergio Garcia,39,"51' 3""",5126.083,100,-22
109,T109,T130,Mackenzie Hughes,58,"51' 3""",5736.3330000000005,112,-11
110,T109,T94,Brian Stuard,76,"51' 3""",7633.25,149,-17
111,T109,T94,Michael Thompson,56,"51' 3""",8510.417,166,-34
112,113,T96,Andrew Putnam,57,"51' 4""",5137.417,100,-15
113,T114,T98,Cameron Champ,58,"51' 5""",5963.0830000000005,116,-10
114,T114,T98,Kevin Kisner,65,"51' 5""",6892.0830000000005,134,-25
115,T114,116,Shawn Stefani,57,"51' 5""",6119.5830000000005,119,-14
116,T117,T120,Austin Cook,50,"51' 6""",5926.6669999999995,115,-21
117,T117,T112,Sam Saunders,53,"51' 6""",7419.1669999999995,144,-23
118,T117,123,Richy Werenski,63,"51' 6""",8079.1669999999995,157,-32
119,T120,T120,Scott Brown,66,"51' 7""",7321.6669999999995,142,-21
120,T120,T107,Freddie Jacobson,37,"51' 7""",2990.917,58,-1
121,T120,T139,Alex Noren,49,"51' 7""",5001.25,97,-18
122,T120,T107,C.T. Pan,64,"51' 7""",6550.75,127,-24
123,T124,T153,Hank Lebioda,55,"51' 8""",6458.25,125,-26
124,T124,111,Jordan Spieth,57,"51' 8""",6403.3330000000005,124,-36
125,T126,T98,Matt Kuchar,65,"51' 9""",8222.167,159,-32
126,T126,164,Cameron Tringale,52,"51' 9""",5329.6669999999995,103,-16
127,128,124,Aaron Wise,52,"51' 11""",7627.0830000000005,147,-19
128,T129,T114,Matthew Fitzpatrick,42,"52' 0""",5405.4169999999995,104,-11
129,T129,T112,Roger Sloan,62,"52' 0""",7025.4169999999995,135,-12
130,131,T120,Seamus Power,58,"52' 2""",6098.9169999999995,117,-33
131,T132,129,Corey Conners,62,"52' 3""",6113.1669999999995,117,-10
132,T132,132,Matt Every,38,"52' 3""",4753.75,91,-19
133,134,T133,Peter Malnati,64,"52' 4""",7217.5830000000005,138,-22
134,135,T145,Graeme McDowell,61,"52' 5""",6862.0830000000005,131,-13
135,136,T139,Dylan Frittelli,55,"52' 8""",7376.8330000000005,140,-24
136,137,125,Patrick Reed,53,"52' 9""",6861.8330000000005,130,-18
137,138,126,Chez Reavie,67,"52' 11""",6879.4169999999995,130,-11
138,T139,127,John Huh,35,"53' 0""",4136.75,78,-5
139,T139,T151,Sepp Straka,48,"53' 0""",5459.0830000000005,103,-21
140,141,T153,Wyndham Clark,61,"53' 1""",6369.5,120,-27
141,T142,128,Emiliano Grillo,65,"53' 2""",6536.8330000000005,123,-27
142,T142,T137,Bill Haas,58,"53' 2""",7867.75,148,-27
143,T144,T151,Stephan Jaeger,59,"53' 3""",6069.4169999999995,114,-31
144,T144,T133,Kelly Kraft,67,"53' 3""",7454.0,140,-3
145,T144,136,Denny McCarthy,63,"53' 3""",7136.9169999999995,134,-34
146,147,T156,Sebastián Muñoz,58,"53' 6""",6683.5,125,-19
147,148,T165,David Hearn,41,"53' 7""",3912.833,73,+1
148,T149,T156,Brice Garnett,63,"53' 8""",6335.3330000000005,118,-9
149,T149,T133,Kevin Streelman,63,"53' 8""",8848.917,165,-33
150,151,T168,Roberto Castro,54,"53' 9""",7042.0830000000005,131,-14
151,152,T153,Jimmy Walker,61,"53' 10""",7155.0,133,-12
152,153,T158,Brandt Snedeker,68,"53' 11""",8955.667,166,-37
153,154,T137,Satoshi Kodaira,51,"54' 1""",6004.4169999999995,111,-3
154,T155,T139,Ryan Blaum,67,"54' 2""",9536.25,176,-49
155,T155,142,Brian Gay,79,"54' 2""",9427.25,174,-15
156,T155,T192,José de Jesús Rodríguez,51,"54' 2""",5310.5830000000005,98,-9
157,T155,T170,Kevin Tway,62,"54' 2""",6882.4169999999995,127,-22
158,T159,163,Alex Cejka,41,"54' 3""",4451.75,82,+4
159,T159,T158,Chris Stroud,54,"54' 3""",6457.1669999999995,119,-4
160,T161,162,Julián Etulain,55,"54' 5""",5988.5830000000005,110,-16
161,T161,144,James Hahn,34,"54' 5""",2668.333,49,-10
162,T163,T145,Ernie Els,43,"54' 6""",4030.5,74,-4
163,T163,T145,Charles Howell III,64,"54' 6""",7903.75,145,-27
164,T163,T145,Matt Jones,67,"54' 6""",7517.0,138,-32
165,T163,T145,Andrew Landry,56,"54' 6""",6700.5830000000005,123,-19
166,167,150,Kevin Na,54,"54' 7""",5511.4169999999995,101,-11
167,168,T174,Harris English,72,"54' 11""",9063.083,165,-27
168,T169,T158,Rafa Cabrera Bello,57,"55' 0""",7647.8330000000005,139,-16
169,T169,173,Scott Stallings,63,"55' 0""",7978.5830000000005,145,-29
170,T169,T158,Jhonattan Vegas,60,"55' 0""",7146.5830000000005,130,-23
171,T172,T197,Jonathan Byrd,43,"55' 5""",4653.25,84,E
172,T172,T165,Stewart Cink,33,"55' 5""",3159.583,57,-8
173,T174,182,Cameron Davis,54,"55' 7""",5777.1669999999995,104,+3
174,T174,167,Ryan Moore,54,"55' 7""",8004.25,144,-24
175,176,T168,D.A. Points,33,"55' 8""",3174.833,57,-3
176,T177,T170,Billy Horschel,73,"55' 9""",8418.0,151,-15
177,T177,176,Sungjae Im,88,"55' 9""",12373.5,222,-48
178,T177,T170,Anirban Lahiri,54,"55' 9""",6579.4169999999995,118,-13
179,T177,185,Johnson Wagner,45,"55' 9""",6304.25,113,-11
180,181,T197,John Chin,38,"55' 10""",4245.083,76,-8
181,T182,T174,Beau Hossler,66,"55' 11""",8889.917,159,-18
182,T182,T180,Adam Schenk,80,"55' 11""",9787.667,175,-33
183,T182,T201,Ben Silverman,54,"55' 11""",6712.5,120,-20
184,T185,T192,Jim Herman,37,"56' 1""",4596.167,82,-5
185,T185,184,J.J. Spaun,68,"56' 1""",8409.0,150,-6
186,T185,177,Martin Trainer,51,"56' 1""",6448.0,115,-1
187,T188,T199,Joey Garber,44,"56' 3""",4613.333,82,+2
188,T188,T178,Curtis Luck,51,"56' 3""",5119.833,91,-6
189,190,T178,Kiradech Aphibarnrat,49,"56' 5""",6767.4169999999995,120,-16
190,T191,T192,Tyler Duncan,66,"56' 6""",7235.0830000000005,128,-16
191,T191,T180,Chris Kirk,47,"56' 6""",5650.9169999999995,100,-19
192,T193,189,Dominic Bozzelli,53,"56' 7""",6391.0,113,-14
193,T193,T187,Scott Piercy,70,"56' 7""",8886.167,157,-23
194,195,191,Nick Taylor,70,"56' 8""",9690.083,171,-38
195,T196,186,Brady Schnell,38,"56' 9""",4201.5,74,+3
196,T196,183,John Senden,39,"56' 9""",4820.417,85,-2
197,198,T195,Roberto Díaz,51,"57' 2""",5831.0830000000005,102,-11
198,199,203,Wes Roach,45,"57' 4""",5331.3330000000005,93,-25
199,200,T187,"Ted Potter, Jr.",56,"57' 6""",6841.0830000000005,119,E
200,201,T201,J.J. Henry,42,"57' 7""",4661.083,81,+5
201,202,190,Hunter Mahan,45,"57' 8""",5826.6669999999995,101,-21
202,203,T195,Charl Schwartzel,34,"58' 1""",1973.6670000000001,34,-2
203,204,206,Chris Thompson,34,"58' 11""",4656.583,79,E
204,205,T199,Justin Harding,31,"59' 1""",3307.333,56,E
205,206,204,Aaron Baddeley,51,"60' 3""",6025.9169999999995,100,-25
206,207,205,Rod Pampling,40,"60' 8""",5094.25,84,-6
207,208,999,Martin Piller,30,"62' 0""",3225.5,52,-5
208,209,207,Kyoung-Hoon Lee,72,"63' 4""",7921.3330000000005,125,-16
