,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,2,Lucas Bjerregaard,37,61.82,34,55,+0.03
1,2,4,Keegan Bradley,65,59.48,69,116,E
2,3,T5,Henrik Stenson,46,58.78,77,131,+0.03
3,4,7,Rory McIlroy,50,58.7,54,92,-0.20
4,5,3,Brooks Koepka,49,58.44,45,77,-0.02
5,6,T5,Dustin Johnson,47,57.75,41,71,-0.10
6,7,8,Cameron Champ,58,57.29,55,96,+0.02
7,8,14,Cameron Tringale,52,55.42,46,83,-0.13
8,9,10,Tiger Woods,31,55.36,31,56,-0.03
9,10,1,D.J. Trahan,33,55.17,16,29,-0.13
10,11,T22,Talor Gooch,37,54.69,35,64,-0.14
11,12,12,Jon Rahm,51,54.67,41,75,-0.15
12,13,13,Gary Woodland,63,54.55,48,88,+0.08
13,14,9,Ben Crane,41,54.43,43,79,-0.14
14,15,34,John Chin,38,53.57,30,56,+0.03
15,16,T20,Alex Prugh,54,53.42,39,73,-0.13
16,17,18,Charley Hoffman,58,53.09,43,81,-0.12
17,18,24,Jason Kokrak,68,52.53,52,99,-0.23
18,19,27,Russell Henley,56,52.48,53,101,E
19,20,T22,Josh Teater,47,52.31,34,65,-0.06
20,21,T15,Carlos Ortiz,60,52.21,59,113,E
21,22,25,Russell Knox,65,52.1,62,119,-0.03
22,23,38,Corey Conners,62,51.76,44,85,+0.02
23,24,19,Trey Mullinax,67,51.69,46,89,-0.07
24,25,35,Matt Every,38,51.67,31,60,-0.10
25,26,29,Adam Long,52,51.52,51,99,+0.02
26,27,42,Hudson Swafford,59,51.46,53,103,-0.17
27,28,11,Wes Roach,45,51.43,36,70,-0.08
28,29,31,Kevin Kisner,65,51.09,47,92,-0.06
29,30,T15,Sangmoon Bae,42,50.77,33,65,-0.12
30,31,28,Fabián Gómez,44,50.7,36,71,E
31,32,37,Xander Schauffele,55,50.67,38,75,-0.24
32,33,43,Kevin Streelman,63,50.49,52,103,-0.04
33,T34,30,Roberto Castro,54,50.0,48,96,-0.08
34,T34,41,Dylan Frittelli,55,50.0,51,102,E
35,T34,T44,Tyrrell Hatton,46,50.0,41,82,-0.22
36,T34,26,Alex Noren,49,50.0,35,70,+0.03
37,T34,T44,Charl Schwartzel,34,50.0,17,34,-0.12
38,39,46,Pat Perez,52,49.56,56,113,-0.02
39,40,47,Chesson Hadley,58,49.5,50,101,-0.10
40,41,60,Daniel Berger,48,49.49,49,99,-0.06
41,42,39,Ben Silverman,54,49.46,46,93,-0.07
42,43,49,Max Homa,61,49.45,45,91,-0.09
43,T44,50,Paul Casey,51,49.38,40,81,-0.15
44,T44,17,Ryan Palmer,56,49.38,40,81,+0.05
45,46,51,Ian Poulter,49,49.37,39,79,-0.15
46,47,52,Branden Grace,62,49.33,37,75,E
47,T48,T53,Patrick Cantlay,49,49.28,34,69,-0.03
48,T48,T53,Tommy Fleetwood,43,49.28,34,69,-0.15
49,T48,82,Seth Reeves,52,49.28,34,69,+0.03
50,51,56,Billy Horschel,73,49.12,56,114,E
51,52,33,Shawn Stefani,57,49.02,50,102,-0.04
52,53,57,Charles Howell III,64,49.0,49,100,-0.10
53,54,58,Stewart Cink,33,48.98,24,49,-0.13
54,55,59,Kyoung-Hoon Lee,72,48.91,45,92,E
55,56,91,Webb Simpson,53,48.78,60,123,-0.15
56,T57,36,Matt Kuchar,65,48.31,57,118,-0.11
57,T57,T70,Martin Laird,60,48.31,57,118,-0.14
58,59,T20,Jim Herman,37,48.28,28,58,-0.04
59,60,67,Chris Thompson,34,48.21,27,56,+0.07
60,61,73,Adam Hadwin,66,48.18,53,110,+0.04
61,62,66,Harold Varner III,62,48.15,52,108,-0.06
62,T63,40,Tyler Duncan,66,47.87,45,94,-0.02
63,T63,T107,Hank Lebioda,55,47.87,45,94,-0.04
64,T63,80,Kevin Tway,62,47.87,45,94,-0.04
65,66,68,Marc Leishman,52,47.78,43,90,-0.02
66,T67,69,Sam Burns,66,47.66,51,107,-0.04
67,T67,48,Zach Johnson,50,47.66,51,107,-0.02
68,T69,T70,Justin Harding,31,47.62,20,42,-0.10
69,T69,65,Jim Knous,55,47.62,40,84,+0.05
70,71,72,Michael Thompson,56,47.54,58,122,-0.14
71,72,61,Stephan Jaeger,59,47.52,48,101,+0.02
72,73,62,Jonas Blixt,66,47.15,58,123,-0.19
73,74,75,Keith Mitchell,64,47.13,41,87,+0.05
74,T75,T76,Hideki Matsuyama,59,47.06,48,102,-0.08
75,T75,63,Chase Wright,53,47.06,40,85,-0.15
76,77,81,Haotong Li,32,46.94,23,49,E
77,78,79,Joaquin Niemann,68,46.85,52,111,-0.04
78,79,83,Brendan Steele,50,46.77,29,62,-0.17
79,80,84,Vaughn Taylor,69,46.76,65,139,-0.22
80,81,T152,Justin Thomas,49,46.48,33,71,-0.09
81,82,T87,Francesco Molinari,41,46.15,36,78,-0.19
82,83,89,Matt Jones,67,46.0,46,100,-0.02
83,84,85,Nate Lashley,44,45.98,40,87,-0.13
84,85,74,Scott Piercy,70,45.9,56,122,+0.05
85,86,55,Sergio Garcia,39,45.83,33,72,-0.09
86,87,T76,Harris English,72,45.8,60,131,+0.02
87,T88,T87,Whee Kim,57,45.71,32,70,-0.06
88,T88,32,Roger Sloan,62,45.71,48,105,-0.08
89,90,98,Johnson Wagner,45,45.65,42,92,-0.07
90,T91,95,Kiradech Aphibarnrat,49,45.63,47,103,-0.06
91,T91,86,Danny Willett,47,45.63,47,103,-0.02
92,93,78,Sungjae Im,88,45.52,66,145,-0.14
93,T94,116,Scott Brown,66,45.37,49,108,-0.08
94,T94,92,Robert Streb,60,45.37,49,108,-0.06
95,96,99,Si Woo Kim,65,45.33,34,75,-0.12
96,97,100,Jordan Spieth,57,45.19,47,104,-0.15
97,98,64,J.J. Spaun,68,45.13,51,113,-0.08
98,99,93,Bubba Watson,47,45.12,37,82,-0.05
99,100,101,Chez Reavie,67,44.95,49,109,+0.04
100,101,94,Kyle Jones,49,44.94,40,89,-0.08
101,102,102,Bronson Burgoon,37,44.93,31,69,E
102,103,103,Rickie Fowler,54,44.86,48,107,-0.15
103,104,127,J.B. Holmes,54,44.83,26,58,+0.15
104,105,T113,Ollie Schniederjans,63,44.71,38,85,-0.08
105,106,T129,Graeme McDowell,61,44.66,46,103,-0.07
106,107,105,J.T. Poston,76,44.59,70,157,-0.06
107,T108,106,Bryson DeChambeau,45,44.58,37,83,-0.05
108,T108,T113,Adam Svensson,51,44.58,37,83,-0.14
109,T110,T107,Matthew Fitzpatrick,42,44.44,36,81,-0.06
110,T110,90,Mackenzie Hughes,58,44.44,44,99,-0.05
111,T110,T107,Louis Oosthuizen,43,44.44,28,63,-0.11
112,T110,999,Tyrone Van Aswegen,30,44.44,20,45,+0.05
113,T110,T107,Matt Wallace,31,44.44,28,63,-0.04
114,115,115,Joey Garber,44,44.29,31,70,E
115,T116,T111,Joel Dahmen,78,44.26,54,122,-0.11
116,T116,T111,Sung Kang,67,44.26,54,122,-0.11
117,118,124,Brandt Snedeker,68,44.2,61,138,-0.08
118,119,120,Cameron Davis,54,44.16,34,77,E
119,120,117,Rory Sabbatini,71,43.86,50,114,-0.06
120,T121,T118,James Hahn,34,43.75,14,32,+0.07
121,T121,T118,Grayson Murray,36,43.75,21,48,-0.10
122,123,126,Wyndham Clark,61,43.68,38,87,-0.11
123,124,121,Lucas Glover,62,43.64,48,110,-0.06
124,125,122,Patrick Rodgers,44,43.59,34,78,-0.24
125,126,123,Rafa Cabrera Bello,57,43.56,44,101,-0.05
126,127,104,Kramer Hickok,59,43.48,40,92,+0.05
127,128,T138,Denny McCarthy,63,43.43,43,99,-0.19
128,129,125,Martin Kaymer,38,43.24,32,74,-0.03
129,130,128,Chris Kirk,47,43.06,31,72,-0.06
130,131,T129,Justin Rose,42,42.86,30,70,-0.27
131,132,143,Bill Haas,58,42.74,53,124,+0.04
132,133,134,Luke List,52,42.68,35,82,-0.03
133,T134,T135,Troy Merritt,42,42.65,29,68,-0.10
134,T134,T135,Brian Stuard,76,42.65,58,136,-0.03
135,136,T129,David Hearn,41,42.62,26,61,-0.08
136,137,147,Tom Hoge,70,42.59,46,108,-0.17
137,138,T138,Aaron Wise,52,42.57,43,101,-0.09
138,139,T148,Julián Etulain,55,42.53,37,87,+0.05
139,140,140,Aaron Baddeley,51,42.5,34,80,-0.15
140,141,141,Abraham Ancer,69,42.48,48,113,E
141,142,156,Alex Cejka,41,42.42,28,66,-0.07
142,143,144,Sam Ryder,52,42.35,36,85,-0.11
143,144,T96,Sepp Straka,48,42.31,33,78,-0.12
144,145,145,Patrick Reed,53,42.24,49,116,-0.08
145,146,146,Sam Saunders,53,42.11,48,114,+0.04
146,147,178,Jim Furyk,53,42.0,42,100,-0.07
147,148,T148,Byeong Hun An,54,41.98,34,81,-0.03
148,149,T129,Danny Lee,66,41.94,52,124,-0.13
149,150,150,Jhonattan Vegas,60,41.86,36,86,-0.06
150,151,151,Emiliano Grillo,65,41.76,38,91,-0.18
151,T152,154,Tony Finau,61,41.25,33,80,-0.06
152,T152,142,Seamus Power,58,41.25,33,80,-0.06
153,154,155,Andrew Putnam,57,41.24,40,97,-0.23
154,155,157,Andrew Landry,56,40.96,34,83,-0.15
155,156,158,John Senden,39,40.85,29,71,E
156,157,137,Bud Cauley,61,40.83,49,120,-0.12
157,158,162,José de Jesús Rodríguez,51,40.74,33,81,-0.12
158,T159,168,J.J. Henry,42,40.63,26,64,E
159,T159,159,John Huh,35,40.63,26,64,-0.08
160,T159,999,Shane Lowry,30,40.63,26,64,-0.19
161,162,177,Adam Schenk,80,40.6,54,133,-0.15
162,163,T152,Austin Cook,50,40.51,32,79,-0.22
163,164,160,Ryan Blaum,67,40.48,51,126,-0.27
164,165,173,Brandon Harkins,67,40.45,36,89,E
165,166,T163,Jonathan Byrd,43,40.28,29,72,E
166,167,161,Brian Gay,79,40.24,66,164,-0.03
167,168,169,Jimmy Walker,61,40.17,47,117,-0.06
168,T169,T163,Jason Day,45,40.0,24,60,-0.08
169,T169,T163,Patton Kizzire,58,40.0,36,90,-0.08
170,171,T129,Kelly Kraft,67,39.52,49,124,-0.10
171,172,T163,Curtis Luck,51,39.51,32,81,+0.03
172,173,172,Nick Taylor,70,39.37,50,127,-0.16
173,174,170,Satoshi Kodaira,51,39.36,37,94,-0.14
174,175,171,Kevin Na,54,39.33,35,89,-0.06
175,T176,T174,Hunter Mahan,45,39.13,27,69,-0.04
176,T176,T174,C.T. Pan,64,39.13,45,115,-0.09
177,178,T163,Scott Stallings,63,38.32,41,107,E
178,179,180,Peter Uihlein,65,38.24,39,102,-0.05
179,180,188,Sebastián Muñoz,58,38.0,38,100,-0.11
180,181,T181,Anders Albertson,48,37.97,30,79,-0.07
181,182,179,Michael Kim,51,37.86,39,103,-0.05
182,183,T181,Richy Werenski,63,37.27,41,110,-0.12
183,184,184,Phil Mickelson,41,37.14,26,70,-0.15
184,185,185,Ryan Moore,54,36.94,41,111,-0.02
185,186,186,Jason Dufner,56,36.78,32,87,+0.03
186,187,187,Scott Langley,60,36.42,55,151,-0.09
187,188,176,Brady Schnell,38,36.36,24,66,+0.04
188,189,T189,Peter Malnati,64,36.04,40,111,-0.05
189,190,196,Brice Garnett,63,35.79,34,95,-0.21
190,191,191,Beau Hossler,66,35.48,44,124,-0.07
191,192,T189,Chris Stroud,54,35.24,37,105,-0.16
192,193,194,Ryan Armour,66,35.11,46,131,E
193,194,183,Nick Watney,67,34.65,35,101,-0.06
194,195,193,D.A. Points,33,34.55,19,55,-0.11
195,196,195,Anirban Lahiri,54,34.23,38,111,-0.05
196,T197,T197,"Ted Potter, Jr.",56,33.96,36,106,E
197,T197,T197,Adam Scott,41,33.96,18,53,-0.28
198,199,199,Kyle Stanley,53,33.75,27,80,-0.15
199,T200,T200,Freddie Jacobson,37,33.33,24,72,+0.13
200,T200,T200,Rod Pampling,40,33.33,22,66,E
201,202,192,Dominic Bozzelli,53,32.97,30,91,-0.13
202,203,202,Brian Harman,67,31.93,38,119,-0.03
203,204,203,Cameron Smith,55,31.52,29,92,-0.07
204,T205,205,Ernie Els,43,30.38,24,79,-0.04
205,T205,204,Cody Gribble,52,30.38,24,79,-0.21
206,207,207,Roberto Díaz,51,29.27,24,82,-0.04
207,208,206,Martin Trainer,51,28.41,25,88,-0.12
208,209,999,Martin Piller,30,27.27,12,44,-0.17
