,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,1,1,Dylan Meyer,1,8.9
1,2,2,Whee Kim,2,8.3
2,3,3,Jim Furyk,9,8.2
3,4,T4,George Cunningham,1,8.1
4,T5,T4,Keegan Bradley,10,8.0
5,T5,T6,Corey Conners,8,8.0
6,T5,T6,Fred Couples,1,8.0
7,T5,T8,Rory McIlroy,9,8.0
8,T9,T8,Boo Weekley,2,7.9
9,T9,T8,Tiger Woods,5,7.9
10,T11,T11,Ryan Armour,8,7.8
11,T11,T11,Jason Dufner,4,7.8
12,T11,T11,Ross Fisher,1,7.8
13,T11,T14,Erik van Rooyen,3,7.8
14,T15,T14,Russell Knox,12,7.7
15,T15,T14,David Lingmerth,2,7.7
16,T15,T14,Braden Thornberry,1,7.7
17,T15,T14,Tyrone Van Aswegen,2,7.7
18,T15,T14,Gary Woodland,9,7.7
19,T15,T14,Y.E. Yang,1,7.7
20,T21,T22,Anders Albertson,4,7.6
21,T21,T29,Talor Gooch,6,7.6
22,T21,T22,Jim Herman,1,7.6
23,T21,T22,Viktor Hovland,1,7.6
24,T21,T14,Matt Kuchar,12,7.6
25,T21,T22,Nate Lashley,8,7.6
26,T21,T22,Nicholas Lindheim,3,7.6
27,T21,,Collin Morikawa,1,7.6
28,T21,T22,Chez Reavie,9,7.6
29,T21,T29,Henrik Stenson,8,7.6
30,T21,T22,Vaughn Taylor,11,7.6
31,T32,,Paul Barjon,1,7.5
32,T32,T29,Patrick Cantlay,8,7.5
33,T32,T29,Brett Drewitt,1,7.5
34,T32,T29,Doug Ghim,3,7.5
35,T32,T29,Lucas Glover,13,7.5
36,T32,T29,Adam Hadwin,11,7.5
37,T32,T29,Padraig Harrington,1,7.5
38,T32,T29,Russell Henley,7,7.5
39,T32,T29,Charley Hoffman,6,7.5
40,T32,T29,Shugo Imahira,2,7.5
41,T32,T29,Yuki Inamori,1,7.5
42,T32,T44,Brooks Koepka,7,7.5
43,T32,T29,David Lipsky,3,7.5
44,T32,T29,Steve Marino,1,7.5
45,T32,T29,Kevin Streelman,11,7.5
46,T47,T44,Bronson Burgoon,3,7.4
47,T47,T85,Shane Lowry,4,7.4
48,T47,T44,Hideki Matsuyama,11,7.4
49,T47,T44,Troy Merritt,7,7.4
50,T47,T44,Francesco Molinari,6,7.4
51,T47,T44,Ryan Moore,9,7.4
52,T47,T44,Ryan Palmer,8,7.4
53,T47,T44,Kyle Stanley,4,7.4
54,T47,T44,Chase Wright,5,7.4
55,T56,T54,Abraham Ancer,11,7.3
56,T56,T54,Alexander Björk,1,7.3
57,T56,T54,Paul Casey,7,7.3
58,T56,T54,Emiliano Grillo,10,7.3
59,T56,T54,Chesson Hadley,6,7.3
60,T56,T54,Tyrrell Hatton,6,7.3
61,T56,T54,Kramer Hickok,7,7.3
62,T56,T54,Jason Kokrak,14,7.3
63,T56,T54,Joost Luiten,4,7.3
64,T56,T54,Kevin Na,6,7.3
65,T56,T54,Joaquin Niemann,11,7.3
66,T56,T54,Scott Piercy,12,7.3
67,T56,T54,Doc Redman,1,7.3
68,T56,T54,Webb Simpson,11,7.3
69,T56,T54,Vijay Singh,1,7.3
70,T56,T54,Brian Stuard,13,7.3
71,T56,T54,Justin Thomas,8,7.3
72,T56,T54,Michael Thompson,11,7.3
73,T74,T72,Austin Cook,4,7.2
74,T74,T72,Ben Crane,4,7.2
75,T74,T72,Tommy Fleetwood,7,7.2
76,T74,T72,Brian Harman,8,7.2
77,T74,T72,Tom Hoge,7,7.2
78,T74,T72,Jazz Janewattananond,1,7.2
79,T74,T72,Kevin Kisner,11,7.2
80,T74,T72,Davis Love III,4,7.2
81,T74,T72,Alex Prugh,6,7.2
82,T74,T72,Patrick Rodgers,7,7.2
83,T74,T72,Shawn Stefani,6,7.2
84,T74,T72,David Toms,1,7.2
85,T74,T72,Nick Watney,10,7.2
86,T87,T85,Hayden Buckley,1,7.1
87,T87,T85,Roberto Castro,9,7.1
88,T87,T85,Joel Dahmen,12,7.1
89,T87,T85,Matt Every,5,7.1
90,T87,T85,Zack Fischer,1,7.1
91,T87,T85,Rickie Fowler,11,7.1
92,T87,T85,Sergio Garcia,6,7.1
93,T87,T85,Fabián Gómez,6,7.1
94,T87,T85,J.J. Henry,3,7.1
95,T87,T85,Sam Horsfield,1,7.1
96,T87,T85,Rikuya Hoshino,1,7.1
97,T87,T44,Colt Knost,2,7.1
98,T87,T85,Andrew Landry,8,7.1
99,T87,T85,Hank Lebioda,9,7.1
100,T87,T85,Kyoung-Hoon Lee,8,7.1
101,T87,T85,Marc Leishman,8,7.1
102,T87,T85,Jon Rahm,8,7.1
103,T87,T85,Scottie Scheffler,3,7.1
104,T87,T85,Brendan Steele,6,7.1
105,T87,T85,Adam Svensson,7,7.1
106,T107,T122,Scott Brown,8,7.0
107,T107,T106,Bud Cauley,10,7.0
108,T107,T106,Bryson DeChambeau,8,7.0
109,T107,T106,J.B. Holmes,3,7.0
110,T107,T122,Zach Johnson,9,7.0
111,T107,T106,Michael Lorenzo-Vera,1,7.0
112,T107,T106,Tyler McCumber,1,7.0
113,T107,T106,Thorbjørn Olesen,3,7.0
114,T107,T106,Louis Oosthuizen,5,7.0
115,T107,T106,C.T. Pan,9,7.0
116,T107,T106,Eddie Pepperell,4,7.0
117,T107,T106,Pat Perez,6,7.0
118,T107,T106,Ian Poulter,7,7.0
119,T107,T106,Brady Schnell,3,7.0
120,T107,T106,Adam Scott,5,7.0
121,T107,T122,Harold Varner III,10,7.0
122,T107,T85,Danny Willett,7,7.0
123,T107,T106,Aaron Wise,7,7.0
124,T125,T106,Jonas Blixt,11,6.9
125,T125,T122,Alex Cejka,4,6.9
126,T125,T122,Tyler Duncan,7,6.9
127,T125,T122,Matthew Fitzpatrick,7,6.9
128,T125,T122,Max Homa,10,6.9
129,T125,T122,Billy Hurley III,2,6.9
130,T125,T122,Sung Kang,11,6.9
131,T125,T122,Chris Kirk,5,6.9
132,T125,T141,Danny Lee,11,6.9
133,T125,T122,Adam Long,6,6.9
134,T125,T122,Sean O'Hair,3,6.9
135,T125,T122,Xander Schauffele,8,6.9
136,T125,T122,Cameron Smith,7,6.9
137,T125,T122,Zack Sucher,2,6.9
138,T125,T122,Hudson Swafford,8,6.9
139,T125,T122,Matthew Wolff,1,6.9
140,T141,T141,Byeong Hun An,8,6.8
141,T141,T141,Kiradech Aphibarnrat,6,6.8
142,T141,T141,K.J. Choi,3,6.8
143,T141,T141,Roberto Díaz,6,6.8
144,T141,T141,Jason Day,6,6.8
145,T141,T141,Luke Donald,3,6.8
146,T141,T141,Derek Fathauer,1,6.8
147,T141,T141,Brice Garnett,6,6.8
148,T141,T141,Robert Garrigus,2,6.8
149,T141,T141,James Hahn,3,6.8
150,T141,T122,Sungjae Im,14,6.8
151,T141,T141,Freddie Jacobson,3,6.8
152,T141,T122,Dustin Johnson,9,6.8
153,T141,T141,Luke List,9,6.8
154,T141,T141,Hunter Mahan,5,6.8
155,T141,T176,Graeme McDowell,10,6.8
156,T141,T141,Phil Mickelson,6,6.8
157,T141,T141,Matthew Millar,1,6.8
158,T141,T141,Keith Mitchell,8,6.8
159,T141,T141,Sebastián Muñoz,8,6.8
160,T141,T141,Henrik Norlander,1,6.8
161,T141,T141,J.T. Poston,14,6.8
162,T141,T141,Andrew Putnam,8,6.8
163,T141,T141,Justin Rose,8,6.8
164,T141,T141,Adam Schenk,13,6.8
165,T141,T141,Shubhankar Sharma,2,6.8
166,T141,T176,Ben Silverman,8,6.8
167,T141,T168,Sepp Straka,5,6.8
168,T141,T106,Josh Teater,5,6.8
169,T141,T141,Jhonattan Vegas,10,6.8
170,T141,T141,Richy Werenski,9,6.8
171,T172,T198,Sangmoon Bae,3,6.7
172,T172,T168,Cameron Davis,7,6.7
173,T172,T168,Martin Kaymer,7,6.7
174,T172,T176,Scott Langley,9,6.7
175,T172,T168,Sam Ryder,9,6.7
176,T172,T168,John Senden,3,6.7
177,T172,T168,Scott Stallings,9,6.7
178,T172,T141,D.J. Trahan,4,6.7
179,T172,T168,Tim Wilkinson,1,6.7
180,T181,T176,Daniel Berger,9,6.6
181,T181,T176,Lucas Bjerregaard,4,6.6
182,T181,T176,Rafa Cabrera Bello,9,6.6
183,T181,T176,Branden Grace,7,6.6
184,T181,T176,Brandon Harkins,9,6.6
185,T181,T237,Mackenzie Hughes,7,6.6
186,T181,T176,John Huh,4,6.6
187,T181,T176,Si Woo Kim,8,6.6
188,T181,T176,Kurt Kitayama,1,6.6
189,T181,T198,Peter Malnati,11,6.6
190,T181,T176,Denny McCarthy,8,6.6
191,T181,T176,Trey Mullinax,11,6.6
192,T181,T176,Grayson Murray,4,6.6
193,T181,T176,Carlos Ortiz,8,6.6
194,T181,T176,"Ted Potter, Jr.",7,6.6
195,T181,T176,Davis Riley,1,6.6
196,T181,T198,José de Jesús Rodríguez,6,6.6
197,T181,T176,Sam Saunders,8,6.6
198,T181,T176,Robert Streb,7,6.6
199,T181,T176,Nick Taylor,14,6.6
200,T201,T198,Cameron Champ,9,6.5
201,T201,T198,Tony Finau,10,6.5
202,T201,T176,Brian Gay,13,6.5
203,T201,T214,Cody Gribble,7,6.5
204,T201,T198,Billy Horschel,11,6.5
205,T201,T198,Charles Howell III,10,6.5
206,T201,T198,Michael Kim,2,6.5
207,T201,T214,Martin Laird,10,6.5
208,T201,T198,Haotong Li,4,6.5
209,T201,T198,Thomas Pieters,2,6.5
210,T201,T198,Seamus Power,5,6.5
211,T201,T198,Rory Sabbatini,13,6.5
212,T201,T198,Brendon Todd,2,6.5
213,T201,T214,Kevin Tway,8,6.5
214,T201,T198,Johnson Wagner,7,6.5
215,T201,T168,Bubba Watson,8,6.5
216,T217,T214,Jonathan Byrd,6,6.4
217,T217,T214,George Coetzee,1,6.4
218,T217,T214,Chad Collins,1,6.4
219,T217,T214,Dylan Frittelli,10,6.4
220,T217,T214,Bill Haas,9,6.4
221,T217,T214,Justin Harding,2,6.4
222,T217,T237,Stephan Jaeger,6,6.4
223,T217,T214,Matt Jones,10,6.4
224,T217,T198,Jim Knous,6,6.4
225,T217,T198,Kelly Kraft,6,6.4
226,T217,T214,Seth Reeves,5,6.4
227,T217,T176,Roger Sloan,9,6.4
228,T217,T214,J.J. Spaun,10,6.4
229,T217,T214,Matt Wallace,5,6.4
230,T231,T227,Stuart Appleby,2,6.3
231,T231,T227,Sam Burns,10,6.3
232,T231,T227,Harris English,13,6.3
233,T231,T227,Julián Etulain,8,6.3
234,T231,T227,Jason Gore,1,6.3
235,T231,T227,Beau Hossler,10,6.3
236,T231,T227,Kyle Jones,4,6.3
237,T231,T227,Patton Kizzire,6,6.3
238,T231,T227,Dru Love,1,6.3
239,T231,,George McNeill,1,6.3
240,T231,T249,Cameron Tringale,8,6.3
241,T231,T227,Jimmy Walker,10,6.3
242,T243,T237,Ricky Barnes,1,6.2
243,T243,T237,Ernie Els,5,6.2
244,T243,T237,David Hearn,2,6.2
245,T243,T237,Satoshi Kodaira,6,6.2
246,T243,T237,Richard Lee,1,6.2
247,T243,T237,Tom Lovelady,2,6.2
248,T243,T237,Adrian Otaegui,1,6.2
249,T243,T237,Wes Roach,5,6.2
250,T243,T249,Brandt Snedeker,12,6.2
251,T243,T237,Steve Stricker,2,6.2
252,T243,T249,Peter Uihlein,7,6.2
253,T254,T249,Ryan Blaum,10,6.1
254,T254,T249,Derek Ernst,1,6.1
255,T254,T249,Anirban Lahiri,6,6.1
256,T254,T249,Jake McLeod,1,6.1
257,T254,T237,Alex Noren,7,6.1
258,T254,T249,D.A. Points,2,6.1
259,T254,T267,Chris Thompson,3,6.1
260,T254,T249,Lee Westwood,1,6.1
261,T254,T249,Norman Xiong,2,6.1
262,T263,T260,Dawson Armstrong,1,6.0
263,T263,T260,Ryan Fox,1,6.0
264,T263,T285,Joey Garber,3,6.0
265,T263,T260,Parker McLachlin,1,6.0
266,T263,T260,Patrick Reed,9,6.0
267,T263,T260,Andres Romero,1,6.0
268,T263,T260,Jordan Spieth,11,6.0
269,T263,T260,Chris Stroud,6,6.0
270,T271,T267,Aaron Baddeley,8,5.9
271,T271,T249,Dominic Bozzelli,6,5.9
272,T271,T267,Brendon de Jonge,1,5.9
273,T271,T267,Jamie Lovemark,1,5.9
274,T271,T267,Aaron Rai,1,5.9
275,T271,T267,Mike Weir,1,5.9
276,T277,T273,Morgan Hoffmann,4,5.8
277,T277,,Richard Jung,1,5.8
278,T277,T273,Rob Labritz,1,5.8
279,T277,T273,Chad Ramey,1,5.8
280,T277,T273,Ollie Schniederjans,8,5.8
281,T277,T273,Martin Trainer,5,5.8
282,T277,T273,Kristoffer Ventura,1,5.8
283,T284,T279,John Catlin,2,5.7
284,T284,T279,Stewart Cink,2,5.7
285,T284,T279,Brandon Hagy,1,5.7
286,T284,T279,Lucas Herbert,1,5.7
287,T284,T279,Lee Hodges,1,5.7
288,T284,T279,Rod Pampling,2,5.7
289,290,T285,Matthew Short,1,5.6
290,T291,T287,Garrett Barber,1,5.5
291,T291,T287,Wyndham Clark,10,5.5
292,T291,T287,Curtis Luck,5,5.5
293,T291,T287,Martin Piller,2,5.5
294,T291,T287,Richard Sterne,1,5.5
295,T296,T292,Rich Beem,1,5.4
296,T296,T292,Tae Hee Lee,1,5.4
297,T298,T294,John Chin,2,5.3
298,T298,T294,Tom Lewis,1,5.3
299,T300,T296,Marty Jertson,1,5.2
300,T300,,Jake Knapp,1,5.2
301,T300,T296,Maverick McNealy,1,5.2
302,T300,T296,John Rollins,1,5.2
303,T304,T299,Tim Herron,2,4.8
304,T304,T299,Jonathan Randolph,1,4.8
305,T306,T301,Shaun Norris,1,4.7
306,T306,T301,Ryan Vermeer,1,4.7
307,308,303,Charl Schwartzel,1,4.3
308,309,304,Daniel Chopra,1,4.2
