,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Byeong Hun An,15,100.0,6.0
1,T1,T1,Patrick Cantlay,14,100.0,2.0
2,T1,T1,Paul Casey,15,100.0,1.0
3,T1,T1,Austin Cook,17,100.0,1.0
4,T1,T1,Jason Day,14,100.0,2.0
5,T1,T1,Bryson DeChambeau,13,100.0,4.0
6,T1,T1,Joey Garber,15,100.0,3.0
7,T1,T1,Talor Gooch,12,100.0,3.0
8,T1,T1,Jim Herman,16,100.0,2.0
9,T1,T1,Dustin Johnson,12,100.0,2.0
10,T1,T1,Kyle Jones,19,100.0,2.0
11,T1,T1,Brooks Koepka,13,100.0,5.0
12,T1,T1,Martin Laird,18,100.0,2.0
13,T1,T1,Hideki Matsuyama,15,100.0,5.0
14,T1,T1,Rory McIlroy,13,100.0,3.0
15,T1,T1,Seamus Power,21,100.0,3.0
16,T1,T1,Jon Rahm,14,100.0,2.0
17,T1,T1,Brady Schnell,14,100.0,2.0
18,T1,T1,Adam Scott,12,100.0,1.0
19,T1,T1,Sepp Straka,16,100.0,2.0
20,T1,T1,Adam Svensson,18,100.0,4.0
21,T1,999,Tyrone Van Aswegen,11,100.0,3.0
22,T1,T1,Harold Varner III,20,100.0,2.0
23,T1,T1,Danny Willett,15,100.0,3.0
24,T1,T1,Tiger Woods,8,100.0,2.0
25,26,25,Brian Stuard,22,91.7,11.0
26,27,26,Max Homa,19,88.9,8.0
27,T28,T27,Ryan Armour,21,87.5,7.0
28,T28,T27,Bud Cauley,19,87.5,7.0
29,T28,T27,Wyndham Clark,20,87.5,7.0
30,T31,T30,Sungjae Im,26,85.7,6.0
31,T31,T30,Anirban Lahiri,17,85.7,6.0
32,T31,T30,Gary Woodland,17,85.7,6.0
33,T34,T33,Sam Burns,22,83.3,5.0
34,T34,T33,Si Woo Kim,20,83.3,5.0
35,T34,T33,Marc Leishman,14,83.3,5.0
36,T34,T33,Denny McCarthy,20,83.3,5.0
37,T34,T38,Alex Noren,14,83.3,5.0
38,T34,T33,Webb Simpson,14,83.3,5.0
39,T40,T53,Dominic Bozzelli,17,80.0,4.0
40,T40,T38,Cameron Champ,19,80.0,4.0
41,T40,T38,Corey Conners,20,80.0,4.0
42,T40,T38,Russell Henley,18,80.0,4.0
43,T40,T38,Charley Hoffman,18,80.0,4.0
44,T40,T38,Sung Kang,20,80.0,4.0
45,T40,T38,Patton Kizzire,18,80.0,4.0
46,T40,T38,Haotong Li,9,80.0,4.0
47,T40,T38,Hunter Mahan,15,80.0,4.0
48,T40,T38,Alex Prugh,18,80.0,4.0
49,T40,T38,Henrik Stenson,12,80.0,4.0
50,T51,T50,Jonas Blixt,20,77.8,7.0
51,T51,T50,Matt Jones,19,77.8,7.0
52,T51,T50,Brandt Snedeker,18,77.8,7.0
53,T54,T53,Cameron Davis,18,75.0,6.0
54,T54,T70,Dylan Frittelli,16,75.0,6.0
55,T54,T53,Brian Harman,22,75.0,6.0
56,T54,T53,Mackenzie Hughes,19,75.0,3.0
57,T54,T53,Kevin Kisner,17,75.0,6.0
58,T54,T53,Andrew Landry,18,75.0,6.0
59,T54,T53,Peter Malnati,19,75.0,3.0
60,T54,T53,Ryan Moore,16,75.0,6.0
61,T54,T53,Carlos Ortiz,21,75.0,3.0
62,T54,T53,Ian Poulter,13,75.0,3.0
63,T54,T53,Patrick Rodgers,14,75.0,3.0
64,T54,T53,Xander Schauffele,15,75.0,3.0
65,T54,T53,John Senden,13,75.0,3.0
66,T54,T53,Justin Thomas,13,75.0,3.0
67,T54,T53,Martin Trainer,19,75.0,3.0
68,T54,T53,Matt Wallace,9,75.0,3.0
69,T54,T53,Chase Wright,19,75.0,3.0
70,71,77,Jimmy Walker,17,72.7,8.0
71,T72,T70,Hank Lebioda,16,71.4,5.0
72,T72,T70,Kevin Na,15,71.4,5.0
73,T72,T70,"Ted Potter, Jr.",18,71.4,5.0
74,T72,T70,Ollie Schniederjans,22,71.4,5.0
75,T72,T70,Kyle Stanley,18,71.4,5.0
76,T72,T70,Shawn Stefani,19,71.4,5.0
77,T78,T78,Aaron Baddeley,15,66.7,2.0
78,T78,T78,Lucas Bjerregaard,10,66.7,2.0
79,T78,T78,Scott Brown,21,66.7,4.0
80,T78,T78,Jonathan Byrd,13,66.7,2.0
81,T78,T78,Rafa Cabrera Bello,15,66.7,4.0
82,T78,T78,Alex Cejka,16,66.7,2.0
83,T78,T78,Harris English,21,66.7,8.0
84,T78,T78,Tommy Fleetwood,11,66.7,2.0
85,T78,T78,Jim Furyk,16,66.7,2.0
86,T78,T78,Sergio Garcia,11,66.7,2.0
87,T78,T78,Tyrrell Hatton,13,66.7,4.0
88,T78,T78,Charles Howell III,19,66.7,4.0
89,T78,T38,Kelly Kraft,23,66.7,4.0
90,T78,T78,Phil Mickelson,13,66.7,2.0
91,T78,T103,Ryan Palmer,16,66.7,4.0
92,T78,T130,Rod Pampling,16,66.7,2.0
93,T78,999,Martin Piller,10,66.7,2.0
94,T78,T78,Charl Schwartzel,13,66.7,2.0
95,T78,T78,Cameron Smith,16,66.7,4.0
96,T78,T78,Nick Taylor,20,66.7,6.0
97,T78,T130,Bubba Watson,13,66.7,2.0
98,T78,T78,Aaron Wise,16,66.7,4.0
99,100,96,Billy Horschel,19,63.6,7.0
100,T101,T97,Abraham Ancer,20,62.5,5.0
101,T101,T97,Ernie Els,14,62.5,5.0
102,T101,T97,Brice Garnett,21,62.5,5.0
103,T101,T116,Zach Johnson,15,62.5,5.0
104,T101,T116,Sebastián Muñoz,18,62.5,5.0
105,T101,T97,Trey Mullinax,20,62.5,5.0
106,T101,T97,Rory Sabbatini,19,62.5,5.0
107,T101,T97,Cameron Tringale,15,62.5,5.0
108,T109,T103,Ryan Blaum,21,60.0,6.0
109,T109,T103,Chesson Hadley,20,60.0,3.0
110,T109,T103,Martin Kaymer,11,60.0,3.0
111,T109,T103,Whee Kim,21,60.0,3.0
112,T109,T103,Russell Knox,18,60.0,6.0
113,T109,T103,Jason Kokrak,17,60.0,6.0
114,T109,T103,Adam Long,19,60.0,3.0
115,T109,T103,C.T. Pan,19,60.0,6.0
116,T109,T103,Chez Reavie,19,60.0,3.0
117,T109,T103,Scott Stallings,20,60.0,3.0
118,T109,T103,Vaughn Taylor,21,60.0,3.0
119,T109,T103,Johnson Wagner,14,60.0,3.0
120,121,T128,Brian Gay,22,58.3,7.0
121,T122,T116,Julián Etulain,17,57.1,4.0
122,T122,T116,Kramer Hickok,19,57.1,4.0
123,T122,T116,Danny Lee,20,57.1,4.0
124,T122,T116,Kyoung-Hoon Lee,22,57.1,4.0
125,T122,T116,Keith Mitchell,19,57.1,4.0
126,T122,T116,Scott Piercy,19,57.1,4.0
127,T122,T130,Kevin Tway,19,57.1,4.0
128,T122,T116,Richy Werenski,20,57.1,4.0
129,T130,T125,Brandon Harkins,21,55.6,5.0
130,T130,T125,Joaquin Niemann,20,55.6,5.0
131,132,T128,Joel Dahmen,22,54.5,6.0
132,T133,T130,Anders Albertson,18,50.0,1.0
133,T133,T152,Tyler Duncan,22,50.0,4.0
134,T133,T130,Matthew Fitzpatrick,11,50.0,3.0
135,T133,T130,Fabián Gómez,14,50.0,3.0
136,T133,T152,Cody Gribble,18,50.0,4.0
137,T133,T130,Emiliano Grillo,17,50.0,4.0
138,T133,T130,Bill Haas,18,50.0,3.0
139,T133,T130,Adam Hadwin,18,50.0,4.0
140,T133,T130,J.B. Holmes,18,50.0,1.0
141,T133,T130,Chris Kirk,17,50.0,2.0
142,T133,T130,Matt Kuchar,16,50.0,3.0
143,T133,T130,Scott Langley,20,50.0,3.0
144,T133,999,Shane Lowry,10,50.0,1.0
145,T133,T130,Graeme McDowell,16,50.0,3.0
146,T133,T130,Troy Merritt,12,50.0,2.0
147,T133,T130,Patrick Reed,15,50.0,2.0
148,T133,T125,Adam Schenk,24,50.0,5.0
149,T133,T130,Robert Streb,21,50.0,2.0
150,T133,T130,Kevin Streelman,20,50.0,2.0
151,T133,T171,Chris Thompson,12,50.0,2.0
152,T133,T78,D.J. Trahan,11,50.0,2.0
153,T154,T150,J.T. Poston,22,44.4,4.0
154,T154,T150,Sam Ryder,16,44.4,4.0
155,T156,T130,Keegan Bradley,18,42.9,3.0
156,T156,T152,Beau Hossler,20,42.9,3.0
157,T156,T152,Sam Saunders,18,42.9,3.0
158,T156,T152,Hudson Swafford,20,42.9,3.0
159,T160,T157,Tony Finau,17,40.0,2.0
160,T160,T157,James Hahn,10,40.0,2.0
161,T160,T184,Stephan Jaeger,19,40.0,2.0
162,T160,T157,Nate Lashley,13,40.0,2.0
163,T160,T157,Luke List,16,40.0,2.0
164,T160,T157,Curtis Luck,17,40.0,2.0
165,T160,T157,Andrew Putnam,17,40.0,2.0
166,T160,T157,José de Jesús Rodríguez,17,40.0,2.0
167,T160,T130,Roger Sloan,20,40.0,2.0
168,T160,T157,Brendan Steele,17,40.0,2.0
169,T160,T157,Chris Stroud,19,40.0,2.0
170,T160,T157,Michael Thompson,17,40.0,2.0
171,T160,T157,Jhonattan Vegas,18,40.0,2.0
172,T173,T168,Branden Grace,18,37.5,3.0
173,T173,T168,Tom Hoge,24,37.5,3.0
174,T173,T168,Satoshi Kodaira,16,37.5,3.0
175,T176,T197,Sangmoon Bae,16,33.3,1.0
176,T176,T192,Daniel Berger,14,33.3,2.0
177,T176,T171,Roberto Díaz,16,33.3,2.0
178,T176,T171,Rickie Fowler,14,33.3,1.0
179,T176,T171,Lucas Glover,17,33.3,1.0
180,T176,T171,Justin Harding,9,33.3,1.0
181,T176,T171,Louis Oosthuizen,12,33.3,1.0
182,T176,T171,D.A. Points,13,33.3,1.0
183,T176,T171,Wes Roach,14,33.3,2.0
184,T176,T171,Justin Rose,11,33.3,1.0
185,T176,T171,Jordan Spieth,16,33.3,1.0
186,T187,T182,Ben Silverman,17,28.6,2.0
187,T187,T171,J.J. Spaun,20,28.6,2.0
188,T187,T182,Nick Watney,20,28.6,2.0
189,T190,T184,Kiradech Aphibarnrat,15,25.0,1.0
190,T190,T184,John Chin,14,25.0,1.0
191,T190,T184,Jason Dufner,19,25.0,1.0
192,T190,T184,Freddie Jacobson,14,25.0,1.0
193,T190,T184,Michael Kim,21,25.0,1.0
194,T190,T184,Francesco Molinari,10,25.0,1.0
195,T196,T184,Jim Knous,17,20.0,1.0
196,T196,T192,Seth Reeves,18,20.0,1.0
197,T196,T192,Peter Uihlein,22,20.0,1.0
198,199,195,Roberto Castro,16,16.7,1.0
199,200,196,Pat Perez,16,14.3,1.0
200,T201,T197,Bronson Burgoon,14,0.0,
201,T201,T197,Stewart Cink,12,0.0,
202,T201,T197,Ben Crane,13,0.0,
203,T201,T197,David Hearn,14,0.0,
204,T201,T197,J.J. Henry,15,0.0,
205,T201,T197,John Huh,13,0.0,
206,T201,T197,Grayson Murray,14,0.0,
207,T201,T197,Josh Teater,17,0.0,
