,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,1,1,Phil Mickelson,41,60
1,2,2,Sung Kang,67,61
2,T3,T3,Stewart Cink,33,62
3,T3,T3,Kevin Na,54,62
4,T3,T3,Ryan Palmer,56,62
5,T3,T3,Scott Piercy,70,62
6,T3,T3,Andrew Putnam,57,62
7,T8,T8,Jonas Blixt,66,63
8,T8,T48,Keegan Bradley,65,63
9,T8,T8,Patrick Cantlay,49,63
10,T8,T8,Jason Dufner,56,63
11,T8,T8,Rickie Fowler,54,63
12,T8,T8,Brian Gay,79,63
13,T8,T8,Doug Ghim,19,63
14,T8,T8,Jason Gore,10,63
15,T8,T8,Charley Hoffman,58,63
16,T8,T8,Whee Kim,57,63
17,T8,T8,Luke List,52,63
18,T8,T8,Adam Long,52,63
19,T8,T8,Denny McCarthy,63,63
20,T8,T8,Chip McDaniel,9,63
21,T8,T8,Peter Uihlein,65,63
22,T23,T22,Kiradech Aphibarnrat,49,64
23,T23,T22,Ryan Armour,66,64
24,T23,T48,Jonathan Byrd,43,64
25,T23,T22,Corey Conners,62,64
26,T23,T22,Austin Cook,50,64
27,T23,T22,Tony Finau,61,64
28,T23,T22,Jim Furyk,53,64
29,T23,T22,Branden Grace,62,64
30,T23,T22,Adam Hadwin,66,64
31,T23,T22,Kramer Hickok,59,64
32,T23,T22,Charles Howell III,64,64
33,T23,T22,Sungjae Im,88,64
34,T23,T22,Davis Love III,29,64
35,T23,T203,Shane Lowry,30,64
36,T23,T22,Curtis Luck,51,64
37,T23,T22,Joost Luiten,16,64
38,T23,T22,Hunter Mahan,45,64
39,T23,T22,Graeme McDowell,61,64
40,T23,T48,Sebastián Muñoz,58,64
41,T23,T22,Carlos Ortiz,60,64
42,T23,T22,Patrick Reed,53,64
43,T23,T22,Webb Simpson,53,64
44,T23,T22,Roger Sloan,62,64
45,T23,T22,Kyle Stanley,53,64
46,T23,T22,Shawn Stefani,57,64
47,T23,T22,Kevin Streelman,63,64
48,T23,T22,Justin Thomas,49,64
49,T23,T22,Michael Thompson,56,64
50,T23,T203,Erik van Rooyen,16,64
51,T23,T22,Chase Wright,53,64
52,T53,T48,Ryan Blaum,67,65
53,T53,T48,Dominic Bozzelli,53,65
54,T53,T88,Scott Brown,66,65
55,T53,T48,Rafa Cabrera Bello,57,65
56,T53,T48,Chad Campbell,24,65
57,T53,T48,Roberto Castro,54,65
58,T53,T48,Bud Cauley,61,65
59,T53,T48,Cameron Champ,58,65
60,T53,T48,Kevin Chappell,12,65
61,T53,T48,Jason Day,45,65
62,T53,T48,Luke Donald,22,65
63,T53,T48,Harris English,72,65
64,T53,T48,Matt Every,38,65
65,T53,T48,Sergio Garcia,39,65
66,T53,T48,Brice Garnett,63,65
67,T53,T48,Lucas Glover,62,65
68,T53,T48,Chesson Hadley,58,65
69,T53,T48,Justin Harding,31,65
70,T53,T48,Padraig Harrington,17,65
71,T53,T48,Morgan Hoffmann,24,65
72,T53,T48,Si Woo Kim,65,65
73,T53,T48,Patton Kizzire,58,65
74,T53,T48,Scott Langley,60,65
75,T53,T48,Hideki Matsuyama,59,65
76,T53,T48,Troy Merritt,42,65
77,T53,T48,Ryan Moore,54,65
78,T53,T48,"Ted Potter, Jr.",56,65
79,T53,T48,Alex Prugh,54,65
80,T53,T48,Adam Schenk,80,65
81,T53,T48,Ollie Schniederjans,63,65
82,T53,T48,Brandt Snedeker,68,65
83,T53,T48,J.J. Spaun,68,65
84,T53,T48,Robert Streb,60,65
85,T53,T48,Brian Stuard,76,65
86,T53,T48,Harold Varner III,62,65
87,T53,T48,Boo Weekley,16,65
88,T53,T48,Richy Werenski,63,65
89,T53,T48,Gary Woodland,63,65
90,T91,T88,Anders Albertson,48,66
91,T91,T88,Byeong Hun An,54,66
92,T91,T88,Daniel Berger,48,66
93,T91,T88,Bronson Burgoon,37,66
94,T91,T88,Sam Burns,66,66
95,T91,T88,Paul Casey,51,66
96,T91,T88,Alex Cejka,41,66
97,T91,T88,Roberto Díaz,51,66
98,T91,T88,Bryson DeChambeau,45,66
99,T91,T88,Tyler Duncan,66,66
100,T91,T88,Ernie Els,43,66
101,T91,T88,Julián Etulain,55,66
102,T91,T88,Armando Favela,4,66
103,T91,T88,Tommy Fleetwood,43,66
104,T91,T88,Joey Garber,44,66
105,T91,T88,Emiliano Grillo,65,66
106,T91,T88,Brandon Hagy,27,66
107,T91,T88,James Hahn,34,66
108,T91,T88,Brian Harman,67,66
109,T91,T88,Tyrrell Hatton,46,66
110,T91,T88,David Hearn,41,66
111,T91,T88,Russell Henley,56,66
112,T91,T149,Tom Hoge,70,66
113,T91,T88,Beau Hossler,66,66
114,T91,T88,Mackenzie Hughes,58,66
115,T91,T149,Stephan Jaeger,59,66
116,T91,T88,Zach Johnson,50,66
117,T91,T88,Dustin Johnson,47,66
118,T91,T88,Matt Jones,67,66
119,T91,T88,Kyle Jones,49,66
120,T91,T88,Chris Kirk,47,66
121,T91,T88,Jason Kokrak,68,66
122,T91,T88,Martin Laird,60,66
123,T91,T88,Danny Lee,66,66
124,T91,T88,Kyoung-Hoon Lee,72,66
125,T91,T88,Marc Leishman,52,66
126,T91,T88,Rory McIlroy,50,66
127,T91,T88,Keith Mitchell,64,66
128,T91,T306,Drew Nesbitt,5,66
129,T91,T88,Joaquin Niemann,68,66
130,T91,T88,Louis Oosthuizen,43,66
131,T91,T88,C.T. Pan,64,66
132,T91,T88,J.T. Poston,76,66
133,T91,T88,Davis Riley,4,66
134,T91,T88,Sam Ryder,52,66
135,T91,T88,Sam Saunders,53,66
136,T91,T88,Xander Schauffele,55,66
137,T91,T88,Adam Scott,41,66
138,T91,T88,Cameron Smith,55,66
139,T91,T88,Jordan Spieth,57,66
140,T91,T88,Scott Stallings,63,66
141,T91,T149,Henrik Stenson,46,66
142,T91,T88,Sepp Straka,48,66
143,T91,T88,Adam Svensson,51,66
144,T91,T88,Vaughn Taylor,69,66
145,T91,T88,Nick Taylor,70,66
146,T91,T306,Chris Thompson,34,66
147,T91,T88,D.J. Trahan,33,66
148,T91,T88,Martin Trainer,51,66
149,T91,T88,Cameron Tringale,52,66
150,T91,T88,Austen Truslow,6,66
151,T91,T88,Kevin Tway,62,66
152,T91,T88,Jhonattan Vegas,60,66
153,T91,T88,Bubba Watson,47,66
154,T91,T203,Danny Willett,47,66
155,T91,T88,Aaron Wise,52,66
156,T157,T149,Abraham Ancer,69,67
157,T157,T149,Aaron Baddeley,51,67
158,T157,T203,Sangmoon Bae,42,67
159,T157,T149,Shintaro Ban,6,67
160,T157,,Paul Barjon,6,67
161,T157,T149,Lucas Bjerregaard,37,67
162,T157,T149,John Catlin,19,67
163,T157,T149,John Chin,38,67
164,T157,T149,K.J. Choi,20,67
165,T157,T149,Wyndham Clark,61,67
166,T157,T149,George Coetzee,8,67
167,T157,T149,Joel Dahmen,78,67
168,T157,T149,Cameron Davis,54,67
169,T157,T149,Derek Fathauer,28,67
170,T157,T149,Ross Fisher,4,67
171,T157,T149,Matthew Fitzpatrick,42,67
172,T157,T149,Dylan Frittelli,55,67
173,T157,T149,Talor Gooch,37,67
174,T157,T149,Bill Haas,58,67
175,T157,T149,Brandon Harkins,67,67
176,T157,T149,J.J. Henry,42,67
177,T157,T149,J.B. Holmes,54,67
178,T157,T149,Billy Horschel,73,67
179,T157,T149,John Huh,35,67
180,T157,T149,Freddie Jacobson,37,67
181,T157,T149,Martin Kaymer,38,67
182,T157,T149,Kevin Kisner,65,67
183,T157,T149,Colt Knost,20,67
184,T157,T149,Jim Knous,55,67
185,T157,T149,Russell Knox,65,67
186,T157,T149,Matt Kuchar,65,67
187,T157,T149,Anirban Lahiri,54,67
188,T157,T149,Andrew Landry,56,67
189,T157,T149,Nate Lashley,44,67
190,T157,T203,Hank Lebioda,55,67
191,T157,T149,Haotong Li,32,67
192,T157,T149,Dylan Meyer,8,67
193,T157,T149,Francesco Molinari,41,67
194,T157,T149,Trey Mullinax,67,67
195,T157,T203,Alex Noren,49,67
196,T157,T149,Sean O'Hair,23,67
197,T157,T149,Thorbjørn Olesen,27,67
198,T157,T149,Pat Perez,52,67
199,T157,T149,Jon Rahm,51,67
200,T157,T149,Patrick Rodgers,44,67
201,T157,T241,José de Jesús Rodríguez,51,67
202,T157,T149,Rory Sabbatini,71,67
203,T157,T149,Brady Schnell,38,67
204,T157,T149,Charl Schwartzel,34,67
205,T157,T149,Ben Silverman,54,67
206,T157,T149,Steve Stricker,20,67
207,T157,T149,Chris Stroud,54,67
208,T157,T149,Braden Thornberry,6,67
209,T157,T149,Johnson Wagner,45,67
210,T157,T149,Jimmy Walker,61,67
211,T157,T149,Nick Watney,67,67
212,T213,T203,Robert Allenby,6,68
213,T213,T203,Ben Crane,41,68
214,T213,T203,Brian Davis,13,68
215,T213,T203,Robert Garrigus,20,68
216,T213,T203,Fabián Gómez,44,68
217,T213,T203,Andres Gonzales,2,68
218,T213,T203,Cody Gribble,52,68
219,T213,T203,Lee Hodges,4,68
220,T213,T203,Max Homa,61,68
221,T213,T203,Jazz Janewattananond,4,68
222,T213,T203,Takumi Kanaya,6,68
223,T213,T203,Satoshi Kodaira,51,68
224,T213,T203,Kelly Kraft,67,68
225,T213,T203,Michael Lorenzo-Vera,4,68
226,T213,T203,Peter Malnati,64,68
227,T213,T203,Grayson Murray,36,68
228,T213,T203,Cole Nygren,2,68
229,T213,T203,Martin Piller,30,68
230,T213,T203,D.A. Points,33,68
231,T213,T203,Ian Poulter,49,68
232,T213,T203,Seamus Power,58,68
233,T213,T203,Chez Reavie,67,68
234,T213,T203,Seth Reeves,52,68
235,T213,T277,Wes Roach,45,68
236,T213,T203,Justin Rose,42,68
237,T213,T203,Scottie Scheffler,12,68
238,T213,T203,John Senden,39,68
239,T213,T203,Brendan Steele,50,68
240,T213,T203,Richard Sterne,6,68
241,T213,T203,Hudson Swafford,59,68
242,T213,T203,Brendon Todd,23,68
243,T213,T241,Tyrone Van Aswegen,30,68
244,T213,T203,Matt Wallace,31,68
245,T213,T203,Y.E. Yang,6,68
246,T247,T241,Stuart Appleby,12,69
247,T247,T427,Zach Bauchou,4,69
248,T247,T241,Rich Beem,4,69
249,T247,T241,Chad Collins,25,69
250,T247,T241,Paul Dunne,4,69
251,T247,T241,David Duval,8,69
252,T247,T241,Martin Flores,4,69
253,T247,T241,Ben Griffin,6,69
254,T247,T241,Seungsu Han,4,69
255,T247,T241,Jim Herman,37,69
256,T247,T241,Sam Horsfield,10,69
257,T247,T241,Billy Hurley III,24,69
258,T247,T241,Jerry Kelly,5,69
259,T247,T241,Brooks Koepka,49,69
260,T247,T241,Nicholas Lindheim,26,69
261,T247,T241,David Lingmerth,25,69
262,T247,T241,Tom Lovelady,27,69
263,T247,T241,Jamie Lovemark,22,69
264,T247,T241,Steve Marino,12,69
265,T247,T241,Jake McLeod,4,69
266,T247,T277,George McNeill,16,69
267,T247,,Collin Morikawa,4,69
268,T247,T241,Blake Morris,2,69
269,T247,T241,Bryson Nimmer,4,69
270,T247,T241,Alvaro Ortiz,10,69
271,T247,T241,Rod Pampling,40,69
272,T247,T241,David Pastore,4,69
273,T247,T241,Andrea Pavan,4,69
274,T247,T241,Thomas Pieters,16,69
275,T247,T241,Jonathan Randolph,4,69
276,T247,T241,Jovan Rebula,4,69
277,T247,T241,Shubhankar Sharma,24,69
278,T247,T241,Zack Sucher,10,69
279,T247,T241,Josh Teater,47,69
280,T247,T241,Omar Uresti,6,69
281,T247,T241,Kristoffer Ventura,8,69
282,T247,T241,Tiger Woods,31,69
283,T284,T277,Charlie Beljan,6,70
284,T284,T277,Gaganjeet Bhullar,8,70
285,T284,T277,Alexander Björk,10,70
286,T284,T277,Zac Blair,4,70
287,T284,T277,Michael Block,5,70
288,T284,T277,Wesley Bryan,9,70
289,T284,T277,Jason Caron,2,70
290,T284,,Will Claxton,4,70
291,T284,,Austin Connelly,4,70
292,T284,T277,Chris Couch,8,70
293,T284,T277,Fred Couples,8,70
294,T284,T277,Thomas Detry,4,70
295,T284,T277,Ken Duke,4,70
296,T284,T277,Derek Ernst,8,70
297,T284,T277,Wilson Furr,2,70
298,T284,T277,Tim Herron,18,70
299,T284,T277,Viktor Hovland,12,70
300,T284,T277,Alex Kang,6,70
301,T284,T277,Ben Leong,4,70
302,T284,T277,David Lipsky,16,70
303,T284,T277,Dru Love,13,70
304,T284,T277,Dong Seop Maeng,4,70
305,T284,T277,Eamonn McLoughlin,2,70
306,T284,T277,Derek Oland,2,70
307,T284,T277,Aaron Rai,4,70
308,T284,T277,Doc Redman,4,70
309,T284,T277,Charles Reiter,3,70
310,T284,T277,Kevin Stadler,6,70
311,T284,T277,Mike Weir,11,70
312,T313,T306,Garrett Barber,4,71
313,T313,T306,Devon Bling,4,71
314,T313,,Marc-Étienne Bussières,2,71
315,T313,T306,Rafael Campos,6,71
316,T313,T306,Keith Clearwater,2,71
317,T313,T306,Brendon de Jonge,9,71
318,T313,T306,Bruce Doucett,2,71
319,T313,T306,Eric Dugas,3,71
320,T313,T306,Zack Fischer,6,71
321,T313,T306,Berry Henson,4,71
322,T313,T306,Trevor Immelman,12,71
323,T313,T306,Michael Kim,51,71
324,T313,T306,Tom Lewis,9,71
325,T313,T306,Frank Lickliter II,2,71
326,T313,T306,Will MacKenzie,11,71
327,T313,T306,Parker McLachlin,17,71
328,T313,T306,John Merrick,8,71
329,T313,T306,Eddie Pepperell,25,71
330,T313,T306,JC Ritchie,4,71
331,T313,T306,Jared Sawada,2,71
332,T313,T306,Hiram Silfa,4,71
333,T313,T306,Roland Thatcher,4,71
334,T313,T306,Lee Westwood,9,71
335,T336,T330,Mark Anguiano,2,72
336,T336,T330,Arjun Atwal,6,72
337,T336,T330,Ricky Barnes,19,72
338,T336,T330,Akshay Bhatia,2,72
339,T336,T330,Adam Bland,4,72
340,T336,T330,Kris Blanks,2,72
341,T336,,Etienne Brault,2,72
342,T336,T330,Will Cannon,2,72
343,T336,,Chris Crisologo,2,72
344,T336,T330,Jon Curran,12,72
345,T336,T330,James Driscoll,2,72
346,T336,T330,Lukas Euler,2,72
347,T336,T330,Ryan Fox,12,72
348,T336,T330,Tommy Gainey,6,72
349,T336,T330,Retief Goosen,6,72
350,T336,T330,Nick Hardy,6,72
351,T336,T330,Nick Heinen,2,72
352,T336,T330,Matt Hutchins,2,72
353,T336,T330,Yuta Ikeda,6,72
354,T336,T330,Sihwan Kim,8,72
355,T336,T330,Kurt Kitayama,4,72
356,T336,T330,Rob Labritz,4,72
357,T336,T330,Bernhard Langer,4,72
358,T336,T330,Tae Hee Lee,8,72
359,T336,T330,Doyeob Mun,4,72
360,T336,T330,Henrik Norlander,4,72
361,T336,T330,Adrian Otaegui,10,72
362,T336,T330,Taylor Pendrith,2,72
363,T336,T330,Kenny Perry,16,72
364,T336,T330,Kenny Pigman,2,72
365,T336,T330,Chris Smith,2,72
366,T336,T330,Justin Suh,4,72
367,T336,T330,Ryan Vermeer,12,72
368,T336,T330,Matthew Wolff,4,72
369,T336,T330,Norman Xiong,10,72
370,T336,T330,Xinjun Zhang,4,72
371,T372,T364,Mark Anderson,2,73
372,T372,T364,John Augenstein,2,73
373,T372,T364,Blayne Barber,4,73
374,T372,T364,Ángel Cabrera,4,73
375,T372,T364,Minchel Choi,8,73
376,T372,T364,Brent Grant,2,73
377,T372,T364,Tyler Hall,2,73
378,T372,T364,Blair Hamilton,2,73
379,T372,T364,Lucas Herbert,4,73
380,T372,T364,Shugo Imahira,12,73
381,T372,T364,Smylie Kaufman,4,73
382,T372,T364,Jonathan Kaye,6,73
383,T372,,Richard Lee,2,73
384,T372,T364,Alexander Levy,4,73
385,T372,T364,Ben Martin,2,73
386,T372,T364,Shaun Norris,6,73
387,T372,T364,John Rollins,8,73
388,T372,T364,Andres Romero,18,73
389,T372,T364,Brett Rumford,4,73
390,T372,T364,Jason Schmuhl,3,73
391,T372,T364,Vijay Singh,14,73
392,T372,T364,Brandon Stone,6,73
393,T372,T364,Scott Vincent,8,73
394,T372,T364,Charlie Wi,4,73
395,T396,,Matthew Anderson,2,74
396,T396,,JC Deacon,2,74
397,T396,T387,Broc Everett,5,74
398,T396,T387,Yuki Inamori,8,74
399,T396,,Richard Jung,4,74
400,T396,,Jake Knapp,4,74
401,T396,T387,Mikko Korhonen,2,74
402,T396,T387,Yuwa Kosaihira,2,74
403,T396,T387,Hyungjoon Lee,4,74
404,T396,T387,Brian Mackey,2,74
405,T396,T387,Matthew Millar,4,74
406,T396,T387,Larry Mize,2,74
407,T396,T387,Jason Norris,4,74
408,T396,T387,Carl Pettersson,2,74
409,T396,T387,Ted Purdy,2,74
410,T396,T387,Jason Scrivener,4,74
411,T396,T387,Matthew Short,4,74
412,T413,T400,Alex Beach,2,75
413,T413,T400,Cameron Beckman,4,75
414,T413,T400,Justin Bertsch,4,75
415,T413,T400,Hayden Buckley,4,75
416,T413,T400,Yanwei Liu,4,75
417,T413,T400,Sandy Lyle,2,75
418,T413,T400,Rod Perry,6,75
419,T413,T400,Kyle Ramey,2,75
420,T421,T408,Brad Adamonis,2,76
421,T421,T408,Jason Bohn,8,76
422,T421,T408,John Daly,2,76
423,T421,,Thomas DeMarco,2,76
424,T421,T408,Jeronimo Esteve,2,76
425,T421,T408,Edward Figueroa,2,76
426,T421,T408,Mathew Goggin,2,76
427,T421,T408,Theo Humphrey,2,76
428,T421,T408,WC Liang,4,76
429,T421,T408,Tucker Wadkins,2,76
430,T421,T408,Bowen Xiao,4,76
431,T432,T418,Daniel Balin,2,77
432,T432,T418,Oliver Bekker,4,77
433,T432,T418,Andrew Filbert,4,77
434,T432,T418,Craig Hocknull,2,77
435,T432,T418,Spike McRoy,2,77
436,T432,T418,Shaun Micheel,2,77
437,T432,T418,Kevin O'Connell,2,77
438,T432,T418,Casey Russell,2,77
439,T432,T418,Steve Scott,2,77
440,T441,T427,Brendan Jones,2,78
441,T441,T427,Carl Yuan,4,78
442,T443,,Michael Blair,2,79
443,T443,T430,Marty Jertson,4,79
444,T443,T430,John O'Leary,2,79
445,T443,T430,José María Olazábal,2,79
446,T443,T430,Tony Romo,4,79
447,T443,T430,Andy Sullivan,4,79
448,T443,T430,Marc Turnesa,2,79
449,T450,T436,Ashun Wu,4,80
450,T450,T436,Sanghyun Park,15,80
451,T450,T436,Ian Woosnam,2,80
452,453,439,Jeff Schmid,2,81
453,454,440,Robert Gamez,4,82
454,455,441,Troy Matteson,3,84
