,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Adam Scott,41,4.35,283,65
1,2,2,Troy Merritt,42,4.37,284,65
2,3,3,Adam Hadwin,66,4.41,437,99
3,4,4,Matt Jones,67,4.42,469,106
4,T5,T5,Bryson DeChambeau,45,4.44,284,64
5,T5,T5,Hideki Matsuyama,59,4.44,391,88
6,T7,T7,Sam Burns,66,4.46,468,105
7,T7,T7,Paul Casey,51,4.46,330,74
8,T7,T18,Wyndham Clark,61,4.46,437,98
9,T7,T7,Tommy Fleetwood,43,4.46,263,59
10,T7,T12,Sungjae Im,88,4.46,598,134
11,T7,T12,Matt Kuchar,65,4.46,388,87
12,T7,T7,Marc Leishman,52,4.46,366,82
13,T7,T7,Nick Watney,67,4.46,446,100
14,T15,T12,Tony Finau,61,4.47,380,85
15,T15,T26,Justin Thomas,49,4.47,304,68
16,T15,T12,Aaron Wise,52,4.47,349,78
17,T18,T18,Roberto Díaz,51,4.48,354,79
18,T18,T18,Xander Schauffele,55,4.48,385,86
19,T18,T18,Tiger Woods,31,4.48,188,42
20,T21,T18,Dylan Frittelli,55,4.49,382,85
21,T21,T23,Emiliano Grillo,65,4.49,458,102
22,T21,T31,Kramer Hickok,59,4.49,422,94
23,24,T26,C.T. Pan,64,4.5,481,107
24,T25,T23,Cody Gribble,52,4.51,334,74
25,T25,T28,James Hahn,34,4.51,257,57
26,T25,T31,Dustin Johnson,47,4.51,320,71
27,T25,T23,Denny McCarthy,63,4.51,437,97
28,T25,T28,Brady Schnell,38,4.51,293,65
29,T30,T31,Stephan Jaeger,59,4.52,393,87
30,T30,T31,Scott Piercy,70,4.52,484,107
31,T30,T31,Rory Sabbatini,71,4.52,511,113
32,T30,T31,Gary Woodland,63,4.52,425,94
33,T34,T40,Kiradech Aphibarnrat,49,4.53,335,74
34,T34,T40,Patrick Cantlay,49,4.53,326,72
35,T34,T31,Bud Cauley,61,4.53,448,99
36,T34,T40,Cameron Champ,58,4.53,385,85
37,T34,T40,Joel Dahmen,78,4.53,548,121
38,T34,T40,Luke List,52,4.53,358,79
39,T34,T40,Trey Mullinax,67,4.53,444,98
40,T34,T31,Carlos Ortiz,60,4.53,421,93
41,T34,T40,Justin Rose,42,4.53,290,64
42,T34,T12,D.J. Trahan,33,4.53,240,53
43,T44,T55,Cameron Davis,54,4.54,395,87
44,T44,T49,Bill Haas,58,4.54,395,87
45,T44,T64,Hank Lebioda,55,4.54,372,82
46,T44,999,Shane Lowry,30,4.54,168,37
47,T44,T55,Sebastián Muñoz,58,4.54,409,90
48,T44,T49,J.T. Poston,76,4.54,531,117
49,T44,T79,Wes Roach,45,4.54,309,68
50,T44,T49,Sam Ryder,52,4.54,404,89
51,T44,T31,Kevin Tway,62,4.54,418,92
52,T44,T49,Jhonattan Vegas,60,4.54,418,92
53,T54,T49,Harris English,72,4.55,514,113
54,T54,T64,Julián Etulain,55,4.55,382,84
55,T54,T40,Jim Furyk,53,4.55,337,74
56,T54,T55,Max Homa,61,4.55,400,88
57,T54,T55,Martin Kaymer,38,4.55,273,60
58,T54,T28,Kelly Kraft,67,4.55,446,98
59,T54,T55,Martin Laird,60,4.55,405,89
60,T54,T55,Kyle Stanley,53,4.55,346,76
61,T54,T49,Sepp Straka,48,4.55,364,80
62,T63,T55,Dominic Bozzelli,53,4.56,365,80
63,T63,T64,Austin Cook,50,4.56,342,75
64,T63,T64,Tyler Duncan,66,4.56,479,105
65,T63,T64,Charles Howell III,64,4.56,461,101
66,T63,T55,Zach Johnson,50,4.56,342,75
67,T63,T64,Sung Kang,67,4.56,483,106
68,T63,T64,Brooks Koepka,49,4.56,310,68
69,T63,T40,Seth Reeves,52,4.56,374,82
70,T63,T64,John Senden,39,4.56,287,63
71,T63,T64,Brandt Snedeker,68,4.56,497,109
72,T63,T64,Peter Uihlein,65,4.56,470,103
73,T74,T75,Keith Mitchell,64,4.57,457,100
74,T74,T64,Seamus Power,58,4.57,398,87
75,T74,T75,Jon Rahm,51,4.57,329,72
76,T74,T126,Bubba Watson,47,4.57,274,60
77,T78,T79,Rafa Cabrera Bello,57,4.58,435,95
78,T78,T55,Sergio Garcia,39,4.58,183,40
79,T78,T79,Si Woo Kim,65,4.58,472,103
80,T78,T84,José de Jesús Rodríguez,51,4.58,385,84
81,T78,T75,Ollie Schniederjans,63,4.58,444,97
82,T78,T75,Johnson Wagner,45,4.58,330,72
83,T84,T79,Ben Crane,41,4.59,303,66
84,T84,T84,Ian Poulter,49,4.59,321,70
85,T84,T84,Andrew Putnam,57,4.59,399,87
86,T87,T93,Jason Dufner,56,4.6,400,87
87,T87,T93,Matthew Fitzpatrick,42,4.6,299,65
88,T87,T100,Brian Gay,79,4.6,538,117
89,T87,T84,Russell Henley,56,4.6,368,80
90,T87,T93,Ryan Palmer,56,4.6,373,81
91,T87,T93,Pat Perez,52,4.6,386,84
92,T87,T100,Adam Svensson,51,4.6,377,82
93,T87,T84,Hudson Swafford,59,4.6,423,92
94,T87,T100,Nick Taylor,70,4.6,483,105
95,T87,T93,Michael Thompson,56,4.6,423,92
96,T87,T79,Cameron Tringale,52,4.6,386,84
97,T98,T136,Sangmoon Bae,42,4.61,295,64
98,T98,T84,Keegan Bradley,65,4.61,415,90
99,T98,T100,Matt Every,38,4.61,258,56
100,T98,T115,Mackenzie Hughes,58,4.61,392,85
101,T98,T100,Kyle Jones,49,4.61,341,74
102,T98,T100,Whee Kim,57,4.61,401,87
103,T98,T100,Chris Kirk,47,4.61,346,75
104,T98,T100,Russell Knox,65,4.61,429,93
105,T98,T115,Rory McIlroy,50,4.61,332,72
106,T98,T100,Ryan Moore,54,4.61,443,96
107,T98,T100,Louis Oosthuizen,43,4.61,286,62
108,T98,T84,Alex Prugh,54,4.61,378,82
109,T98,T100,Charl Schwartzel,34,4.61,263,57
110,T98,T115,Webb Simpson,53,4.61,318,69
111,T98,T84,Roger Sloan,62,4.61,461,100
112,T98,T115,J.J. Spaun,68,4.61,489,106
113,T114,T131,Fabián Gómez,44,4.62,342,74
114,T114,T115,Branden Grace,62,4.62,420,91
115,T114,T115,Hunter Mahan,45,4.62,351,76
116,T114,T115,Patrick Reed,53,4.62,374,81
117,T114,T100,Adam Schenk,80,4.62,591,128
118,T114,T115,Jordan Spieth,57,4.62,393,85
119,T114,T115,Brendan Steele,50,4.62,379,82
120,T114,T93,Josh Teater,47,4.62,342,74
121,T114,T100,Chase Wright,53,4.62,360,78
122,T123,T126,Aaron Baddeley,51,4.63,407,88
123,T123,T84,Lucas Bjerregaard,37,4.63,213,46
124,T123,T126,Bronson Burgoon,37,4.63,264,57
125,T123,T115,Talor Gooch,37,4.63,259,56
126,T123,T93,Nate Lashley,44,4.63,324,70
127,T123,T100,Danny Lee,66,4.63,444,96
128,T123,T126,Chez Reavie,67,4.63,440,95
129,T123,T115,Scott Stallings,63,4.63,472,102
130,T123,T100,Henrik Stenson,46,4.63,278,60
131,T132,T131,Abraham Ancer,69,4.64,473,102
132,T132,T131,Lucas Glover,62,4.64,436,94
133,T132,T136,Scott Langley,60,4.64,427,92
134,T132,T126,Peter Malnati,64,4.64,436,94
135,T132,T131,Kevin Na,54,4.64,362,78
136,T137,T131,Scott Brown,66,4.65,446,96
137,T137,T145,Brandon Harkins,67,4.65,474,102
138,T137,T136,Billy Horschel,73,4.65,521,112
139,T137,T136,Freddie Jacobson,37,4.65,242,52
140,T137,T136,Patrick Rodgers,44,4.65,316,68
141,T137,T136,Vaughn Taylor,69,4.65,502,108
142,T143,T145,Rickie Fowler,54,4.66,382,82
143,T143,T136,Tom Hoge,70,4.66,494,106
144,T143,T154,Ben Silverman,54,4.66,410,88
145,T143,T136,Harold Varner III,62,4.66,433,93
146,T143,T150,Danny Willett,47,4.66,354,76
147,T148,T154,Corey Conners,62,4.67,448,96
148,T148,T145,David Hearn,41,4.67,280,60
149,T148,T145,Graeme McDowell,61,4.67,425,91
150,T148,T150,D.A. Points,33,4.67,271,58
151,T148,T150,Kevin Streelman,63,4.67,462,99
152,T148,T154,Richy Werenski,63,4.67,453,97
153,T154,T154,Ryan Blaum,67,4.68,477,102
154,T154,T166,Jonathan Byrd,43,4.68,337,72
155,T154,T154,Jason Day,45,4.68,332,71
156,T154,T145,Alex Noren,49,4.68,346,74
157,T158,T136,Anders Albertson,48,4.69,347,74
158,T158,T166,Roberto Castro,54,4.69,375,80
159,T158,T160,Stewart Cink,33,4.69,253,54
160,T158,T160,Phil Mickelson,41,4.69,277,59
161,T158,T160,Martin Trainer,51,4.69,408,87
162,T163,T163,Chris Stroud,54,4.7,381,81
163,T163,T163,Brian Stuard,76,4.7,564,120
164,T163,T166,Jimmy Walker,61,4.7,428,91
165,T163,T163,Matt Wallace,31,4.7,207,44
166,T167,T150,Jonas Blixt,66,4.71,480,102
167,T167,T166,Patton Kizzire,58,4.71,438,93
168,T167,T166,Jim Knous,55,4.71,391,83
169,T167,T166,Andrew Landry,56,4.71,419,89
170,T167,T166,Kyoung-Hoon Lee,72,4.71,537,114
171,T167,T166,Grayson Murray,36,4.71,278,59
172,T167,T189,Joaquin Niemann,68,4.71,476,101
173,T174,T175,Byeong Hun An,54,4.72,382,81
174,T174,T166,Daniel Berger,48,4.72,349,74
175,T174,T154,Joey Garber,44,4.72,316,67
176,T174,T175,Chesson Hadley,58,4.72,425,90
177,T174,T175,Charley Hoffman,58,4.72,439,93
178,T174,T175,Beau Hossler,66,4.72,505,107
179,T174,T180,Shawn Stefani,57,4.72,411,87
180,T174,999,Tyrone Van Aswegen,30,4.72,236,50
181,T182,T175,Brice Garnett,63,4.73,464,98
182,T182,T180,Kevin Kisner,65,4.73,416,88
183,T182,T180,Haotong Li,32,4.73,227,48
184,T182,T180,Adam Long,52,4.73,388,82
185,T182,T180,Curtis Luck,51,4.73,388,82
186,T187,T180,Ryan Armour,66,4.74,512,108
187,T187,T196,Alex Cejka,41,4.74,294,62
188,T187,T189,John Chin,38,4.74,313,66
189,T187,T186,John Huh,35,4.74,256,54
190,T187,T186,Satoshi Kodaira,51,4.74,360,76
191,T187,T186,Jason Kokrak,68,4.74,493,104
192,T193,T189,Justin Harding,31,4.75,209,44
193,T193,999,Martin Piller,30,4.75,247,52
194,T193,T189,Robert Streb,60,4.75,432,91
195,T196,T193,Ernie Els,43,4.76,324,68
196,T196,T193,J.B. Holmes,54,4.76,381,80
197,T196,T193,"Ted Potter, Jr.",56,4.76,419,88
198,199,T196,Tyrrell Hatton,46,4.77,315,66
199,T200,T198,J.J. Henry,42,4.78,287,60
200,T200,T198,Anirban Lahiri,54,4.78,392,82
201,T200,T198,Cameron Smith,55,4.78,373,78
202,T200,T202,Chris Thompson,34,4.78,277,58
203,204,T198,Jim Herman,37,4.79,292,61
204,205,T202,Francesco Molinari,41,4.8,269,56
205,206,204,Brian Harman,67,4.81,486,101
206,207,205,Sam Saunders,53,4.85,427,88
207,208,206,Rod Pampling,40,4.86,287,59
208,209,207,Michael Kim,51,5.05,424,84
