,Late_Lowest_Round_RANK THIS WEEK,Late_Lowest_Round_RANK LAST WEEK,Late_Lowest_Round_PLAYER NAME,Late_Lowest_Round_LOW RND
0,T1,T1,Ricky Barnes,61
1,T1,T7,Rory McIlroy,61
2,T1,T1,Patrick Rodgers,61
3,T1,T1,Adam Svensson,61
4,T5,T4,Carlos Ortiz,62
5,T5,T4,Sam Ryder,62
6,T5,T4,Xander Schauffele,62
7,T8,T183,Scott Brown,63
8,T8,T7,Cameron Champ,63
9,T8,T7,Emiliano Grillo,63
10,T8,T7,Kevin Kisner,63
11,T8,T7,Patton Kizzire,63
12,T8,T7,Matt Kuchar,63
13,T8,T7,Adam Long,63
14,T8,T7,Keith Mitchell,63
15,T8,T7,Justin Rose,63
16,T8,T7,Webb Simpson,63
17,T8,T7,Sepp Straka,63
18,T8,T7,Peter Uihlein,63
19,T8,T7,Richy Werenski,63
20,T8,T7,Gary Woodland,63
21,T22,T21,Byeong Hun An,64
22,T22,T21,Ryan Armour,64
23,T22,T21,Dominic Bozzelli,64
24,T22,T21,Patrick Cantlay,64
25,T22,T21,Paul Casey,64
26,T22,T183,Roberto Castro,64
27,T22,T21,Corey Conners,64
28,T22,T21,Austin Cook,64
29,T22,T21,Ernie Els,64
30,T22,T21,Tony Finau,64
31,T22,T21,Rickie Fowler,64
32,T22,T21,Dylan Frittelli,64
33,T22,T21,Joey Garber,64
34,T22,T21,Brice Garnett,64
35,T22,T21,Brian Gay,64
36,T22,T21,Talor Gooch,64
37,T22,T21,Brian Harman,64
38,T22,T21,Charles Howell III,64
39,T22,T21,Zach Johnson,64
40,T22,T21,Russell Knox,64
41,T22,T21,Satoshi Kodaira,64
42,T22,T21,Brooks Koepka,64
43,T22,T21,Kelly Kraft,64
44,T22,T21,Scott Langley,64
45,T22,T21,Danny Lee,64
46,T22,T21,Marc Leishman,64
47,T22,T21,Dru Love,64
48,T22,T21,Hideki Matsuyama,64
49,T22,T21,Graeme McDowell,64
50,T22,T21,Francesco Molinari,64
51,T22,T21,Ryan Moore,64
52,T22,T21,Trey Mullinax,64
53,T22,T21,Scott Piercy,64
54,T22,T21,J.T. Poston,64
55,T22,T21,Jon Rahm,64
56,T22,T21,Seth Reeves,64
57,T22,T21,Adam Scott,64
58,T22,T21,Shubhankar Sharma,64
59,T22,T21,Jordan Spieth,64
60,T22,T21,Kyle Stanley,64
61,T22,T21,Chris Stroud,64
62,T22,T21,Brian Stuard,64
63,T22,T21,Hudson Swafford,64
64,T22,T21,Harold Varner III,64
65,T22,T21,Nick Watney,64
66,T22,T21,Chase Wright,64
67,T68,T66,Anders Albertson,65
68,T68,T66,Abraham Ancer,65
69,T68,T66,Aaron Baddeley,65
70,T68,T66,Garrett Barber,65
71,T68,T66,Ryan Blaum,65
72,T68,T66,Jonas Blixt,65
73,T68,T66,Jason Bohn,65
74,T68,T66,Keegan Bradley,65
75,T68,T66,Rafa Cabrera Bello,65
76,T68,T66,Kevin Chappell,65
77,T68,T66,Wyndham Clark,65
78,T68,T66,Chad Collins,65
79,T68,T66,Fred Couples,65
80,T68,T279,Ben Crane,65
81,T68,T66,Bryson DeChambeau,65
82,T68,T66,Tyler Duncan,65
83,T68,T66,Harris English,65
84,T68,T66,Matt Every,65
85,T68,T66,Tommy Fleetwood,65
86,T68,T66,Jim Furyk,65
87,T68,T66,Adam Hadwin,65
88,T68,T66,Justin Harding,65
89,T68,T129,Russell Henley,65
90,T68,T66,Beau Hossler,65
91,T68,T66,Mackenzie Hughes,65
92,T68,T66,Sungjae Im,65
93,T68,T66,Shugo Imahira,65
94,T68,T66,Stephan Jaeger,65
95,T68,T129,Dustin Johnson,65
96,T68,T66,Matt Jones,65
97,T68,T66,Sung Kang,65
98,T68,T66,Whee Kim,65
99,T68,T66,Jason Kokrak,65
100,T68,T66,Martin Laird,65
101,T68,T66,Nate Lashley,65
102,T68,T66,David Lingmerth,65
103,T68,T66,Luke List,65
104,T68,T66,Davis Love III,65
105,T68,T66,Peter Malnati,65
106,T68,T66,Steve Marino,65
107,T68,T66,Denny McCarthy,65
108,T68,T66,George McNeill,65
109,T68,T66,Phil Mickelson,65
110,T68,T66,Sebastián Muñoz,65
111,T68,T66,Grayson Murray,65
112,T68,T66,Alex Noren,65
113,T68,T66,Henrik Norlander,65
114,T68,T66,Sean O'Hair,65
115,T68,T66,Louis Oosthuizen,65
116,T68,T66,Ryan Palmer,65
117,T68,T66,C.T. Pan,65
118,T68,T66,Alex Prugh,65
119,T68,T66,Andrew Putnam,65
120,T68,T66,Chez Reavie,65
121,T68,T66,Rory Sabbatini,65
122,T68,T66,Ben Silverman,65
123,T68,T66,Vijay Singh,65
124,T68,T66,Roger Sloan,65
125,T68,T66,Cameron Smith,65
126,T68,T66,Brandt Snedeker,65
127,T68,T66,Shawn Stefani,65
128,T68,T66,Nick Taylor,65
129,T68,T66,Justin Thomas,65
130,T68,T66,Michael Thompson,65
131,T68,T66,Jimmy Walker,65
132,T68,T66,Aaron Wise,65
133,T134,T129,Daniel Berger,66
134,T134,T129,Sam Burns,66
135,T134,T129,Jonathan Byrd,66
136,T134,T129,K.J. Choi,66
137,T134,T129,Joel Dahmen,66
138,T134,T129,Thomas Detry,66
139,T134,T129,Jason Dufner,66
140,T134,T129,Paul Dunne,66
141,T134,T129,Oscar Fraustro,66
142,T134,T129,Doug Ghim,66
143,T134,T129,Lucas Glover,66
144,T134,T129,Jason Gore,66
145,T134,T129,Chesson Hadley,66
146,T134,T129,Brandon Harkins,66
147,T134,T129,Padraig Harrington,66
148,T134,T129,Kramer Hickok,66
149,T134,T129,Lee Hodges,66
150,T134,T129,Charley Hoffman,66
151,T134,T129,Billy Horschel,66
152,T134,T129,Rikuya Hoshino,66
153,T134,T129,Martin Kaymer,66
154,T134,T129,Si Woo Kim,66
155,T134,T129,Chris Kirk,66
156,T134,T129,Jim Knous,66
157,T134,T129,Anirban Lahiri,66
158,T134,T129,Kyoung-Hoon Lee,66
159,T134,T129,David Lipsky,66
160,T134,T236,Shane Lowry,66
161,T134,T129,Curtis Luck,66
162,T134,,Collin Morikawa,66
163,T134,T129,Kevin Na,66
164,T134,T129,Joaquin Niemann,66
165,T134,T129,Eddie Pepperell,66
166,T134,T129,Pat Perez,66
167,T134,T129,Martin Piller,66
168,T134,T129,"Ted Potter, Jr.",66
169,T134,T129,Ian Poulter,66
170,T134,T129,Patrick Reed,66
171,T134,T183,Wes Roach,66
172,T134,T129,José de Jesús Rodríguez,66
173,T134,T129,Sam Saunders,66
174,T134,T129,Charl Schwartzel,66
175,T134,T129,J.J. Spaun,66
176,T134,T129,Brendan Steele,66
177,T134,T129,Henrik Stenson,66
178,T134,T129,Robert Streb,66
179,T134,T129,Kevin Streelman,66
180,T134,T129,Vaughn Taylor,66
181,T134,T129,Chris Thompson,66
182,T134,T129,D.J. Trahan,66
183,T134,T129,Martin Trainer,66
184,T134,T236,Cameron Tringale,66
185,T134,T129,Kevin Tway,66
186,T134,T129,Jhonattan Vegas,66
187,T134,T129,Bubba Watson,66
188,T134,T129,Y.E. Yang,66
189,T190,T183,Sangmoon Bae,67
190,T190,T183,Alexander Björk,67
191,T190,T183,Hayden Buckley,67
192,T190,T183,Bronson Burgoon,67
193,T190,T183,Bud Cauley,67
194,T190,T183,Minchel Choi,67
195,T190,T183,Roberto Díaz,67
196,T190,T183,Cameron Davis,67
197,T190,T183,Jason Day,67
198,T190,T183,Eric Dugas,67
199,T190,T183,Julián Etulain,67
200,T190,T183,Derek Fathauer,67
201,T190,T183,Armando Favela,67
202,T190,T183,Matthew Fitzpatrick,67
203,T190,T183,Sergio Garcia,67
204,T190,T183,Fabián Gómez,67
205,T190,T183,Branden Grace,67
206,T190,T183,Cody Gribble,67
207,T190,T183,Bill Haas,67
208,T190,T183,Brandon Hagy,67
209,T190,T183,James Hahn,67
210,T190,T183,David Hearn,67
211,T190,T183,Jim Herman,67
212,T190,T183,Tom Hoge,67
213,T190,T183,J.B. Holmes,67
214,T190,T183,Max Homa,67
215,T190,T183,John Huh,67
216,T190,T183,Freddie Jacobson,67
217,T190,T183,Jazz Janewattananond,67
218,T190,T183,Kyle Jones,67
219,T190,,Richard Jung,67
220,T190,T183,Andrew Landry,67
221,T190,T183,Hank Lebioda,67
222,T190,T183,Nicholas Lindheim,67
223,T190,T183,Joost Luiten,67
224,T190,T183,Hunter Mahan,67
225,T190,T183,Chip McDaniel,67
226,T190,T183,Troy Merritt,67
227,T190,T183,Kenny Perry,67
228,T190,T183,Seamus Power,67
229,T190,T183,Jonathan Randolph,67
230,T190,T183,Doc Redman,67
231,T190,T183,Scottie Scheffler,67
232,T190,T183,Adam Schenk,67
233,T190,T183,Brady Schnell,67
234,T190,T183,Ollie Schniederjans,67
235,T190,T183,Scott Stallings,67
236,T190,T183,Josh Teater,67
237,T190,T183,Johnson Wagner,67
238,T190,T183,Matt Wallace,67
239,T190,T279,Danny Willett,67
240,T190,T183,Tiger Woods,67
241,T242,T236,Kiradech Aphibarnrat,68
242,T242,T236,Shintaro Ban,68
243,T242,T279,Paul Barjon,68
244,T242,T236,Rafael Campos,68
245,T242,T236,John Catlin,68
246,T242,T236,Alex Cejka,68
247,T242,T236,Daniel Chopra,68
248,T242,T236,Stewart Cink,68
249,T242,T236,George Cunningham,68
250,T242,T236,Jon Curran,68
251,T242,T236,Robert Garrigus,68
252,T242,T236,Seungsu Han,68
253,T242,T236,Tim Herron,68
254,T242,T236,Morgan Hoffmann,68
255,T242,T236,Billy Hurley III,68
256,T242,T236,Yuki Inamori,68
257,T242,T236,Alex Kang,68
258,T242,T236,Sihwan Kim,68
259,T242,T236,Michael Kim,68
260,T242,T236,Colt Knost,68
261,T242,T236,Tae Hee Lee,68
262,T242,T236,Ben Leong,68
263,T242,T236,Haotong Li,68
264,T242,T236,Tom Lovelady,68
265,T242,T236,Jamie Lovemark,68
266,T242,T236,Will MacKenzie,68
267,T242,T236,Ben Martin,68
268,T242,T236,Tyler McCumber,68
269,T242,T236,John Merrick,68
270,T242,T236,Dylan Meyer,68
271,T242,T236,Doyeob Mun,68
272,T242,T236,Thorbjørn Olesen,68
273,T242,T236,Rod Pampling,68
274,T242,T236,Sanghyun Park,68
275,T242,T236,John Senden,68
276,T242,T236,Steve Stricker,68
277,T242,T236,Zack Sucher,68
278,T242,T236,Brendon Todd,68
279,T242,T236,David Toms,68
280,T242,T236,Tyrone Van Aswegen,68
281,T242,T236,Erik van Rooyen,68
282,T242,T236,Norman Xiong,68
283,T242,,Ryan Yip,68
284,T285,T279,Brad Adamonis,69
285,T285,T279,Dawson Armstrong,69
286,T285,T279,Eric Axley,69
287,T285,T279,Charlie Beljan,69
288,T285,T279,Lucas Bjerregaard,69
289,T285,,Etienne Brault,69
290,T285,T279,Wesley Bryan,69
291,T285,T279,Chad Campbell,69
292,T285,T279,John Chin,69
293,T285,T471,Austin Connelly,69
294,T285,T279,Brian Davis,69
295,T285,T279,Brendon de Jonge,69
296,T285,,JC Deacon,69
297,T285,T279,Brett Drewitt,69
298,T285,T279,Broc Everett,69
299,T285,T279,Martin Flores,69
300,T285,T279,Retief Goosen,69
301,T285,T279,Nick Hardy,69
302,T285,T279,Tyrrell Hatton,69
303,T285,T279,J.J. Henry,69
304,T285,T279,Trevor Immelman,69
305,T285,T279,Marty Jertson,69
306,T285,,Jake Knapp,69
307,T285,T279,Rob Labritz,69
308,T285,T279,Parker McLachlin,69
309,T285,T279,Maverick McNealy,69
310,T285,T279,Thomas Pieters,69
311,T285,T279,Davis Riley,69
312,T285,T279,Andres Romero,69
313,T285,T279,Richard Sterne,69
314,T285,T279,Kristoffer Ventura,69
315,T285,T279,Scott Vincent,69
316,T285,T279,Boo Weekley,69
317,T285,T332,Mike Weir,69
318,T285,T279,Mark Wilson,69
319,T320,,James Allenby,70
320,T320,T312,Zach Bauchou,70
321,T320,T312,Chris Couch,70
322,T320,,Joseph Deraney,70
323,T320,T312,Luke Donald,70
324,T320,T312,Kevin Dougherty,70
325,T320,T312,Ryan Fox,70
326,T320,T312,"Ray Franz, Jr.",70
327,T320,,Michael Gligic,70
328,T320,T312,Ben Griffin,70
329,T320,T312,Lucas Herbert,70
330,T320,T312,Yuta Ikeda,70
331,T320,T312,Jerry Kelly,70
332,T320,,Richard Lee,70
333,T320,T312,Tom Lewis,70
334,T320,T312,Jake McLeod,70
335,T320,T312,Adrian Otaegui,70
336,T320,T312,D.A. Points,70
337,T320,T312,Chad Ramey,70
338,T320,T312,John Rollins,70
339,T320,T312,Austen Truslow,70
340,T320,T312,Ryan Vermeer,70
341,T320,T312,Matthew Wolff,70
342,T320,T312,Carl Yuan,70
343,T344,T332,Mark Anderson,71
344,T344,T332,Mark Anguiano,71
345,T344,T332,Stuart Appleby,71
346,T344,T332,Arjun Atwal,71
347,T344,T332,Oliver Bekker,71
348,T344,T332,Justin Bertsch,71
349,T344,T332,Gaganjeet Bhullar,71
350,T344,T471,Will Claxton,71
351,T344,,Thomas DeMarco,71
352,T344,T332,Ken Duke,71
353,T344,T332,Derek Ernst,71
354,T344,T332,Edward Figueroa,71
355,T344,T332,Zack Fischer,71
356,T344,T332,Rahil Gangjee,71
357,T344,T332,Viktor Hovland,71
358,T344,T332,Takumi Kanaya,71
359,T344,T332,Smylie Kaufman,71
360,T344,T332,Bernhard Langer,71
361,T344,T332,Richard Lee,71
362,T344,T332,Kim Leun-Kwang,71
363,T344,T332,Alexander Levy,71
364,T344,T332,Michael Lorenzo-Vera,71
365,T344,T332,Dong Seop Maeng,71
366,T344,T332,Matthew Millar,71
367,T344,T332,Drew Nesbitt,71
368,T344,T332,Kevin O'Connell,71
369,T344,T332,Timothy O'Neal,71
370,T344,T332,Derek Oland,71
371,T344,T332,Andrea Pavan,71
372,T344,T332,Ryan Ruffels,71
373,T344,T332,Kevin Stadler,71
374,T344,T332,Brandon Stone,71
375,T344,T332,Braden Thornberry,71
376,T344,T332,Charlie Wi,71
377,T378,T365,Robert Allenby,72
378,T378,T365,Adri Arnaus,72
379,T378,T365,Ashun Wu,72
380,T378,T365,Juan Cayro Delgado,72
381,T378,T365,Ho Sung Choi,72
382,T378,,Albin Choi,72
383,T378,T365,Brent Grant,72
384,T378,T365,Tyler Hall,72
385,T378,T365,Berry Henson,72
386,T378,T365,Jonathan Kaye,72
387,T378,T365,Hyungjoon Lee,72
388,T378,T365,WC Liang,72
389,T378,T365,Spike McRoy,72
390,T378,T365,Blake Morris,72
391,T378,T365,Shaun Norris,72
392,T378,T365,Alvaro Ortiz,72
393,T378,T365,Julio Santos,72
394,T378,T365,Jared Sawada,72
395,T378,T365,Andy Sullivan,72
396,T378,T365,Lee Westwood,72
397,T378,T365,Tim Wilkinson,72
398,T399,T385,John Augenstein,73
399,T399,T385,Zac Blair,73
400,T399,T385,Rufus Brijalba,73
401,T399,T385,Jorge Campillo,73
402,T399,T385,Ben Cook,73
403,T399,T385,David Duval,73
404,T399,T385,Tommy Gainey,73
405,T399,T385,Todd Hamilton,73
406,T399,T385,Sandy Lyle,73
407,T399,T385,Brian Mackey,73
408,T399,T385,Jason Norris,73
409,T399,T385,Rob Oppenheim,73
410,T399,T385,David Pastore,73
411,T399,T385,Rhadames Pena,73
412,T399,T385,Jovan Rebula,73
413,T399,T385,Casey Russell,73
414,T399,T385,Hyun-woo Ryu,73
415,T399,T385,Julian Suri,73
416,T399,T385,Omar Uresti,73
417,T418,T404,Max Alverio,74
418,T418,,Matthew Anderson,74
419,T418,T404,Todd Balkin,74
420,T418,T404,Akshay Bhatia,74
421,T418,T404,Devon Bling,74
422,T418,T404,Michael Block,74
423,T418,,Marc-Étienne Bussières,74
424,T418,T404,Will Cannon,74
425,T418,T404,George Coetzee,74
426,T418,T404,Erik Compton,74
427,T418,,Chris Crisologo,74
428,T418,T404,Stuart Deane,74
429,T418,T404,James Driscoll,74
430,T418,T404,Ross Fisher,74
431,T418,T404,Andres Gonzales,74
432,T418,T404,Nick Heinen,74
433,T418,T404,Sam Horsfield,74
434,T418,T404,Kurt Kitayama,74
435,T418,T404,Mikko Korhonen,74
436,T418,T404,Cooper Musselman,74
437,T418,T404,Aaron Rai,74
438,T418,T404,Jason Scrivener,74
439,T418,T404,Justin Suh,74
440,T418,T404,Sebastián Vázquez,74
441,T442,T425,"Mike Ballo, Jr.",75
442,T442,T425,Cameron Beckman,75
443,T442,T425,Rich Beem,75
444,T442,T425,Ángel Cabrera,75
445,T442,T425,John Daly,75
446,T442,T425,Bruce Doucett,75
447,T442,T425,Jeronimo Esteve,75
448,T442,T425,Lukas Euler,75
449,T442,T425,Will Grimmer,75
450,T442,T425,Hunter Hamrick,75
451,T442,T425,Theo Humphrey,75
452,T442,T425,Matt Hutchins,75
453,T442,T425,Frank Lickliter II,75
454,T442,T425,Yanwei Liu,75
455,T442,T425,Troy Matteson,75
456,T442,T425,Mark Mulder,75
457,T442,T425,Bryson Nimmer,75
458,T442,T425,Taylor Pendrith,75
459,T442,T425,Kenny Pigman,75
460,T442,T425,Dicky Pride,75
461,T442,T425,Charles Reiter,75
462,T442,T425,Kyle Sanders,75
463,T442,,Joey Savoie,75
464,T442,T425,Jason Schmuhl,75
465,T442,T425,Steve Scott,75
466,T442,T425,Heath Slocum,75
467,T442,T425,Roland Thatcher,75
468,T469,T451,Blayne Barber,76
469,T469,T451,"Rich Berberian, Jr.",76
470,T469,,Michael Blair,76
471,T469,T451,Adam Bland,76
472,T469,T451,Kris Blanks,76
473,T469,T451,Jacob Eggers,76
474,T469,T451,Wilson Furr,76
475,T469,T451,Blair Hamilton,76
476,T469,T451,Peter Jones,76
477,T469,T451,Yuwa Kosaihira,76
478,T469,T451,Eamonn McLoughlin,76
479,T469,T451,Cole Nygren,76
480,T469,T451,Rod Perry,76
481,T469,T451,JC Ritchie,76
482,T469,T451,Tony Romo,76
483,T469,T451,Matthew Short,76
484,T469,T451,Hiram Silfa,76
485,T469,T451,Chris Smith,76
486,T469,T451,Marc Turnesa,76
487,T469,T451,Ian Woosnam,76
488,T469,T451,Xinjun Zhang,76
489,T490,T471,Alex Beach,77
490,T490,T471,Mathew Goggin,77
491,T490,T471,Alexander Hicks,77
492,T490,T471,Brendan Jones,77
493,T490,T471,Jay McLuen,77
494,T490,T471,Shaun Micheel,77
495,T490,T471,Larry Mize,77
496,T490,T471,Ted Purdy,77
497,T490,T471,Nathan Stamey,77
498,T499,T482,Daniel Balin,78
499,T499,T482,Peter Jung,78
500,T499,T482,Derek Lamely,78
501,T499,T482,John O'Leary,78
502,T499,T482,José María Olazábal,78
503,T499,T482,Brett Rumford,78
504,T499,T482,Jeff Schmid,78
505,T499,T482,Tucker Wadkins,78
506,T507,T490,Jason Caron,79
507,T507,T490,Robert Gamez,79
508,T507,T490,Michael Hopper,79
509,T507,T490,Garrett Osborn,79
510,T507,T490,Preston Otte,79
511,T507,T490,Kyle Ramey,79
512,T507,,Josh Whalen,79
513,T507,T490,Bowen Xiao,79
514,T507,T490,Zach Zaback,79
515,516,498,Andrew Filbert,80
516,T517,T499,Craig Hocknull,82
517,T517,T499,Carl Pettersson,82
518,T519,T501,Steve Jones,83
519,T519,T501,Neal Lancaster,83
520,T521,T503,George Riley,85
521,T521,T503,Cory Schneider,85
