,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Sungjae Im,26,39
1,T2,T2,Charles Howell III,19,35
2,T2,T2,Rory Sabbatini,19,35
3,4,T7,Matt Kuchar,16,33
4,T5,T5,Brian Gay,22,32
5,T5,4,Scott Piercy,19,32
6,7,T5,Vaughn Taylor,21,31
7,T8,T20,Harris English,21,30
8,T8,T7,Rickie Fowler,14,30
9,T8,T17,Dustin Johnson,12,30
10,T8,T7,J.T. Poston,22,30
11,T12,T10,Joel Dahmen,22,29
12,T12,T10,Si Woo Kim,20,29
13,T14,T12,Abraham Ancer,20,28
14,T14,T12,Lucas Glover,17,28
15,T14,T12,Matt Jones,19,28
16,T14,T12,Jhonattan Vegas,18,28
17,T14,T12,Gary Woodland,17,28
18,T19,T17,Tony Finau,17,27
19,T19,T34,Ryan Palmer,16,27
20,T19,T17,Chez Reavie,19,27
21,T19,T44,Brandt Snedeker,18,27
22,T19,T26,J.J. Spaun,20,27
23,T24,T20,Patrick Cantlay,14,26
24,T24,T20,Emiliano Grillo,17,26
25,T24,T20,Beau Hossler,20,26
26,T24,T20,Jason Kokrak,17,26
27,T24,T44,Danny Lee,20,26
28,T24,T44,Peter Malnati,19,26
29,T24,T20,Xander Schauffele,15,26
30,T24,T34,Adam Schenk,24,26
31,T24,T51,Webb Simpson,14,26
32,T24,T44,Justin Thomas,13,26
33,T24,T34,Harold Varner III,20,26
34,T35,T44,Jonas Blixt,20,25
35,T35,T34,Kramer Hickok,19,25
36,T35,T26,Sung Kang,20,25
37,T35,T26,Kyoung-Hoon Lee,22,25
38,T35,T26,Hideki Matsuyama,15,25
39,T35,T26,Denny McCarthy,20,25
40,T35,T26,Keith Mitchell,19,25
41,T35,T26,Jordan Spieth,16,25
42,T35,T26,Brian Stuard,22,25
43,T35,T34,Nick Watney,20,25
44,T45,T64,Dominic Bozzelli,17,24
45,T45,T34,Sam Burns,22,24
46,T45,T34,Bud Cauley,19,24
47,T45,T44,Wyndham Clark,20,24
48,T45,T64,Adam Hadwin,18,24
49,T45,T34,Russell Knox,18,24
50,T45,T64,Martin Laird,18,24
51,T45,T72,Rory McIlroy,13,24
52,T45,T51,Sebastián Muñoz,18,24
53,T45,T34,C.T. Pan,19,24
54,T45,T34,Michael Thompson,17,24
55,T56,T51,Ryan Armour,21,23
56,T56,T51,Keegan Bradley,18,23
57,T56,T72,Jim Furyk,16,23
58,T56,T44,Kevin Streelman,20,23
59,T60,T51,Cameron Champ,19,22
60,T60,T64,Corey Conners,20,22
61,T60,T64,Brandon Harkins,21,22
62,T60,T51,Kevin Kisner,17,22
63,T60,T51,Marc Leishman,14,22
64,T60,T64,Trey Mullinax,20,22
65,T60,T51,Carlos Ortiz,21,22
66,T60,T51,Pat Perez,16,22
67,T60,T51,Andrew Putnam,17,22
68,T60,T51,Jon Rahm,14,22
69,T60,T51,Sam Ryder,16,22
70,T60,T51,Cameron Smith,16,22
71,T60,T72,Nick Taylor,20,22
72,T73,T83,Scott Brown,21,21
73,T73,T64,Rafa Cabrera Bello,15,21
74,T73,T64,Billy Horschel,19,21
75,T73,T83,Scott Langley,20,21
76,T73,T92,Graeme McDowell,16,21
77,T73,T83,Peter Uihlein,22,21
78,T79,T72,Aaron Baddeley,15,20
79,T79,T105,Daniel Berger,14,20
80,T79,T72,Paul Casey,15,20
81,T79,T72,Jason Day,14,20
82,T79,T92,Talor Gooch,12,20
83,T79,T92,Brian Harman,22,20
84,T79,T83,Russell Henley,18,20
85,T79,T72,Max Homa,19,20
86,T79,T83,Kelly Kraft,23,20
87,T79,T72,Luke List,16,20
88,T79,T92,Joaquin Niemann,20,20
89,T79,T72,Ian Poulter,13,20
90,T79,T72,Patrick Reed,15,20
91,T79,T83,Scott Stallings,20,20
92,T79,T121,Cameron Tringale,15,20
93,T79,T72,Richy Werenski,20,20
94,T95,T83,Byeong Hun An,15,19
95,T95,T105,Roberto Castro,16,19
96,T95,T105,Dylan Frittelli,16,19
97,T95,T92,J.B. Holmes,18,19
98,T95,T105,Stephan Jaeger,19,19
99,T95,T92,Brooks Koepka,13,19
100,T95,T121,Hank Lebioda,16,19
101,T95,T83,Troy Merritt,12,19
102,T95,T83,Ollie Schniederjans,22,19
103,T95,T105,Ben Silverman,17,19
104,T95,T105,Roger Sloan,20,19
105,T95,T92,Hudson Swafford,20,19
106,T107,T92,Kiradech Aphibarnrat,15,18
107,T107,T121,Jonathan Byrd,13,18
108,T107,T92,Cameron Davis,18,18
109,T107,T92,Bryson DeChambeau,13,18
110,T107,T105,Brice Garnett,21,18
111,T107,T92,Whee Kim,21,18
112,T107,T92,Ryan Moore,16,18
113,T107,T92,Justin Rose,11,18
114,T107,T133,Robert Streb,21,18
115,T107,T121,Jimmy Walker,17,18
116,T107,T105,Aaron Wise,16,18
117,T118,T133,Tyler Duncan,22,17
118,T118,T121,Matt Every,12,17
119,T118,T121,Bill Haas,18,17
120,T118,T143,Mackenzie Hughes,19,17
121,T118,T105,Andrew Landry,18,17
122,T118,T105,Nate Lashley,13,17
123,T118,T105,Kevin Na,15,17
124,T118,T105,Seth Reeves,18,17
125,T118,T105,Sam Saunders,18,17
126,T118,T105,Adam Scott,12,17
127,T118,T105,Chris Stroud,19,17
128,T118,T133,Kevin Tway,19,17
129,T118,T105,Johnson Wagner,14,17
130,T131,T121,Ryan Blaum,21,16
131,T131,T133,Roberto Díaz,16,16
132,T131,T121,Jason Dufner,19,16
133,T131,T121,Fabián Gómez,14,16
134,T131,T133,Tom Hoge,24,16
135,T131,T121,Patton Kizzire,18,16
136,T131,T143,Jim Knous,17,16
137,T131,T121,Phil Mickelson,13,16
138,T131,T154,José de Jesús Rodríguez,17,16
139,T131,T121,Shawn Stefani,19,16
140,T131,T143,Sepp Straka,16,16
141,T131,T143,Josh Teater,17,16
142,T143,T143,Austin Cook,17,15
143,T143,T133,Julián Etulain,17,15
144,T143,T133,Chesson Hadley,20,15
145,T143,T133,Charley Hoffman,18,15
146,T143,T154,Zach Johnson,15,15
147,T143,T133,Alex Prugh,18,15
148,T143,T133,Patrick Rodgers,14,15
149,T143,T143,Adam Svensson,18,15
150,T143,T154,D.J. Trahan,11,15
151,T152,T161,Ben Crane,13,14
152,T152,T154,David Hearn,14,14
153,T152,T143,Chris Kirk,17,14
154,T152,T143,Anirban Lahiri,17,14
155,T152,T143,Hunter Mahan,15,14
156,T152,T154,Alex Noren,14,14
157,T152,T143,"Ted Potter, Jr.",18,14
158,T152,T154,Bubba Watson,13,14
159,T152,T176,Danny Willett,15,14
160,T152,T143,Chase Wright,19,14
161,T162,T176,Sangmoon Bae,16,13
162,T162,T154,Seamus Power,21,13
163,T162,T185,Wes Roach,14,13
164,T162,T176,Henrik Stenson,12,13
165,T166,T161,Anders Albertson,18,12
166,T166,T161,Ernie Els,14,12
167,T166,T161,Tommy Fleetwood,11,12
168,T166,T161,Sergio Garcia,11,12
169,T166,T161,Branden Grace,18,12
170,T166,T161,James Hahn,10,12
171,T166,T161,Adam Long,19,12
172,T166,T161,Jamie Lovemark,7,12
173,T166,T161,Brady Schnell,14,12
174,T166,T161,Kyle Stanley,18,12
175,T166,T161,Brendan Steele,17,12
176,T166,T161,Martin Trainer,19,12
177,T178,T185,Joey Garber,15,11
178,T178,T174,Tyrrell Hatton,13,11
179,T178,T176,Jim Herman,16,11
180,T178,T176,Curtis Luck,17,11
181,T178,T174,Louis Oosthuizen,12,11
182,T183,T176,Bronson Burgoon,14,10
183,T183,T201,Cody Gribble,18,10
184,T183,T176,John Huh,13,10
185,T183,T185,Kyle Jones,19,10
186,T183,T211,Shane Lowry,10,10
187,T183,T176,Sean O'Hair,9,10
188,T183,T176,Brendon Todd,7,10
189,T190,T185,Stewart Cink,12,9
190,T190,T185,Doug Ghim,6,9
191,T190,T193,J.J. Henry,15,9
192,T190,T185,Davis Love III,9,9
193,T190,T193,Martin Piller,10,9
194,T190,T185,John Senden,13,9
195,T190,T193,Tyrone Van Aswegen,11,9
196,T190,T185,Matt Wallace,9,9
197,T198,T201,Alex Cejka,16,8
198,T198,T193,John Chin,14,8
199,T198,T193,Matthew Fitzpatrick,11,8
200,T198,T193,Martin Kaymer,11,8
201,T198,T201,Nicholas Lindheim,10,8
202,T198,T193,Grayson Murray,14,8
203,T198,T228,Rod Pampling,16,8
204,T198,T193,Tiger Woods,8,8
205,T206,T201,John Catlin,5,7
206,T206,T201,Derek Fathauer,10,7
207,T206,T201,Justin Harding,9,7
208,T206,T201,Freddie Jacobson,14,7
209,T206,T217,Colt Knost,8,7
210,T206,T201,Haotong Li,9,7
211,T206,T201,Francesco Molinari,10,7
212,T206,T201,Thomas Pieters,4,7
213,T214,T211,Kevin Chappell,3,6
214,T214,T217,Luke Donald,8,6
215,T214,T211,Satoshi Kodaira,16,6
216,T214,T211,Thorbjørn Olesen,8,6
217,T214,T211,Eddie Pepperell,7,6
218,T214,T211,Scottie Scheffler,3,6
219,T220,T228,Lucas Bjerregaard,10,5
220,T220,T228,Chad Campbell,9,5
221,T220,T228,Chad Collins,9,5
222,T220,T217,Robert Garrigus,7,5
223,T220,T228,Brandon Hagy,12,5
224,T220,T217,Padraig Harrington,7,5
225,T220,T228,Billy Hurley III,8,5
226,T220,T217,Michael Kim,21,5
227,T220,T217,David Lingmerth,9,5
228,T220,T228,Tom Lovelady,10,5
229,T220,T217,Steve Marino,4,5
230,T220,T217,Andres Romero,6,5
231,T220,T217,Charl Schwartzel,13,5
232,T220,T217,Shubhankar Sharma,6,5
233,T220,T217,Steve Stricker,7,5
234,T220,T245,Erik van Rooyen,4,5
235,T236,T228,Stuart Appleby,3,4
236,T236,T288,Paul Barjon,2,4
237,T236,T245,Ricky Barnes,8,4
238,T236,T228,K.J. Choi,7,4
239,T236,T228,Daniel Chopra,3,4
240,T236,T228,Morgan Hoffmann,8,4
241,T236,T228,Shugo Imahira,4,4
242,T236,T228,David Lipsky,4,4
243,T236,T228,Will MacKenzie,5,4
244,T236,T258,George McNeill,6,4
245,T236,T228,Dylan Meyer,3,4
246,T236,T228,D.A. Points,13,4
247,T236,T228,Zack Sucher,3,4
248,T236,T288,Chris Thompson,12,4
249,T250,T245,Shintaro Ban,2,3
250,T250,T245,George Cunningham,2,3
251,T250,T245,Armando Favela,1,3
252,T250,T245,Jason Gore,4,3
253,T250,T245,Yuki Inamori,2,3
254,T250,T245,Joost Luiten,4,3
255,T250,T245,Chip McDaniel,3,3
256,T250,T245,Parker McLachlin,5,3
257,T250,,Collin Morikawa,1,3
258,T250,T245,Davis Riley,1,3
259,T250,T245,Norman Xiong,3,3
260,T250,T245,Y.E. Yang,2,3
261,T262,T258,Rich Beem,1,2
262,T262,T258,Gaganjeet Bhullar,2,2
263,T262,T258,Wesley Bryan,5,2
264,T262,T258,George Coetzee,2,2
265,T262,T258,Brian Davis,5,2
266,T262,T258,Brendon de Jonge,4,2
267,T262,T258,Paul Dunne,1,2
268,T262,T258,Broc Everett,2,2
269,T262,T258,Zack Fischer,2,2
270,T262,T258,Martin Flores,1,2
271,T262,T258,Oscar Fraustro,1,2
272,T262,T258,Seungsu Han,1,2
273,T262,T258,Lee Hodges,1,2
274,T262,T258,Sam Horsfield,3,2
275,T262,T258,Rikuya Hoshino,1,2
276,T262,T258,Jazz Janewattananond,1,2
277,T262,,Richard Jung,1,2
278,T262,,Jake Knapp,1,2
279,T262,T258,Michael Lorenzo-Vera,1,2
280,T262,T258,Maverick McNealy,2,2
281,T262,T258,John Merrick,3,2
282,T262,T258,Doyeob Mun,1,2
283,T262,T258,Bryson Nimmer,1,2
284,T262,T258,Henrik Norlander,1,2
285,T262,T258,Alvaro Ortiz,4,2
286,T262,T258,Sanghyun Park,4,2
287,T262,T258,Jonathan Randolph,1,2
288,T262,T258,Vijay Singh,6,2
289,T262,T258,Richard Sterne,2,2
290,T262,T258,Kristoffer Ventura,3,2
291,T262,T258,Boo Weekley,5,2
292,T293,T288,Brad Adamonis,1,1
293,T293,T288,Robert Allenby,2,1
294,T293,T288,Dawson Armstrong,1,1
295,T293,T288,Adri Arnaus,1,1
296,T293,T288,Eric Axley,4,1
297,T293,T288,Garrett Barber,1,1
298,T293,,Zach Bauchou,2,1
299,T293,T288,Charlie Beljan,2,1
300,T293,T288,Alexander Björk,3,1
301,T293,T288,Jason Bohn,3,1
302,T293,,Etienne Brault,1,1
303,T293,T288,Hayden Buckley,1,1
304,T293,T288,Rafael Campos,2,1
305,T293,T288,Minchel Choi,2,1
306,T293,,Austin Connelly,2,1
307,T293,T288,Fred Couples,3,1
308,T293,T288,Jon Curran,4,1
309,T293,,JC Deacon,1,1
310,T293,T288,Thomas Detry,1,1
311,T293,T288,Kevin Dougherty,2,1
312,T293,T288,Brett Drewitt,1,1
313,T293,T288,Eric Dugas,1,1
314,T293,T288,David Duval,4,1
315,T293,T288,Ross Fisher,1,1
316,T293,T288,Andres Gonzales,1,1
317,T293,T288,Retief Goosen,3,1
318,T293,T288,Ben Griffin,2,1
319,T293,T288,Nick Hardy,3,1
320,T293,T288,Tim Herron,6,1
321,T293,T288,Viktor Hovland,4,1
322,T293,T288,Trevor Immelman,4,1
323,T293,T288,Marty Jertson,1,1
324,T293,T288,Takumi Kanaya,2,1
325,T293,T288,Alex Kang,2,1
326,T293,T288,Jerry Kelly,2,1
327,T293,T288,Sihwan Kim,2,1
328,T293,T288,Kurt Kitayama,1,1
329,T293,T288,Rob Labritz,1,1
330,T293,T288,Tae Hee Lee,2,1
331,T293,T288,Ben Leong,1,1
332,T293,T288,Dru Love,5,1
333,T293,T288,Ben Martin,1,1
334,T293,T288,Tyler McCumber,1,1
335,T293,T288,Jake McLeod,1,1
336,T293,T288,Jay McLuen,1,1
337,T293,T288,Blake Morris,1,1
338,T293,,Drew Nesbitt,2,1
339,T293,T288,Cole Nygren,1,1
340,T293,T288,David Pastore,2,1
341,T293,T288,Andrea Pavan,1,1
342,T293,T288,Kenny Perry,8,1
343,T293,T288,Chad Ramey,1,1
344,T293,T288,Jovan Rebula,2,1
345,T293,T288,Doc Redman,1,1
346,T293,T288,Charles Reiter,1,1
347,T293,T288,John Rollins,3,1
348,T293,T288,Matthew Short,1,1
349,T293,T288,Braden Thornberry,2,1
350,T293,T288,David Toms,1,1
351,T293,T288,Austen Truslow,2,1
352,T293,T288,Omar Uresti,2,1
353,T293,T288,Scott Vincent,2,1
354,T293,,Mike Weir,4,1
355,T293,T288,Lee Westwood,3,1
356,T293,T288,Mark Wilson,1,1
357,T293,T288,Matthew Wolff,1,1
358,T293,,Ryan Yip,1,1
